Time[s],Time[hh:mm:ss],VO2[mL/kg/min],VO2[mL/min],Rf[bpm],Tv[L],Ve[L/min],Ve/VO2,FeO2[%],Pressure[hPa],Temp[C],HUM[%RH]
7.12,00:00:07,2.65,230.50,6.49,1.29,8.39,36.40,17.31,1009.40,24.04,39.69
15.58,00:00:15,2.73,237.33,6.61,1.21,8.05,33.92,17.02,1009.30,24.03,39.66
24.06,00:00:24,,,6.73,0.99,6.70,,,1009.40,24.04,39.62
34.2,00:00:34,2.78,241.83,6.44,1.43,9.24,38.21,17.51,1009.30,24.04,39.58
43.87,00:00:43,2.60,226.00,5.65,1.49,8.44,37.35,17.44,1009.30,24.04,39.55
52.99,00:00:52,3.34,290.67,7.85,1.40,11.02,37.91,17.48,1009.30,24.05,39.52
60.12,00:01:00,2.49,216.33,8.56,0.96,8.27,38.23,17.37,1009.30,24.05,39.48
65.8,00:01:05,2.54,221.33,9.46,1.08,10.24,46.27,18.03,1009.30,24.05,39.45
71.35,00:01:11,2.73,237.17,10.55,1.02,10.86,45.79,17.98,1009.30,24.05,39.43
79.19,00:01:19,2.22,193.50,8.69,0.97,8.51,43.98,17.84,1009.30,24.06,39.42
82.46,00:01:22,1.95,169.83,11.68,0.52,6.08,35.80,16.68,1009.20,24.06,39.39
89.17,00:01:29,3.26,283.67,9.16,1.48,13.62,48.01,18.22,1009.30,24.06,39.36
98.17,00:01:38,2.13,185.67,7.36,1.14,8.45,45.51,18.00,1009.30,24.06,39.32
106.84,00:01:46,1.92,166.83,7.23,0.95,6.93,41.54,17.66,1009.20,24.06,39.32
115.91,00:01:55,1.99,173.00,6.61,0.97,6.41,37.05,17.26,1009.20,24.06,39.31
122.99,00:02:02,,,7.00,1.15,8.07,,,1009.30,24.07,39.31
129.49,00:02:09,2.48,215.33,10.12,0.87,8.82,40.96,17.57,1009.30,24.06,39.28
135.37,00:02:15,2.70,235.17,10.63,0.95,10.12,43.03,17.77,1009.30,24.07,39.26
139.43,00:02:19,2.54,221.17,14.32,0.64,9.22,41.69,17.45,1009.20,24.06,39.23
143.29,00:02:23,2.61,226.67,16.67,0.57,9.66,42.62,17.45,1009.30,24.07,39.21
146.95,00:02:26,2.20,191.67,16.37,0.46,7.58,39.55,16.96,1009.20,24.07,39.20
150.51,00:02:30,2.30,199.83,15.17,0.58,8.92,44.64,17.62,1009.20,24.06,39.18
154.57,00:02:34,2.37,206.33,15.38,0.61,9.54,46.24,17.77,1009.20,24.06,39.17
158.89,00:02:38,2.33,203.00,14.38,0.66,9.51,46.85,17.85,1009.20,24.07,39.14
163.19,00:02:43,3.68,320.50,12.09,1.28,15.52,48.42,18.21,1009.20,24.07,39.17
167.83,00:02:47,2.69,233.83,14.31,0.87,12.52,53.54,18.36,1009.10,24.08,39.14
174.49,00:02:54,1.76,153.00,10.46,0.64,6.79,44.38,17.67,1009.20,24.08,39.13
176.36,00:02:56,2.41,209.67,21.20,0.47,10.14,48.36,17.71,1009.30,24.08,39.13
184.56,00:03:04,11.06,962.00,13.74,1.38,19.00,19.75,14.28,1009.30,24.10,39.24
189.09,00:03:09,8.18,711.50,13.52,1.13,15.31,21.52,14.71,1008.90,24.10,39.20
193.14,00:03:13,6.84,595.33,15.01,0.92,13.82,23.21,15.03,1009.30,24.10,39.19
197.26,00:03:17,6.79,590.33,14.33,0.94,13.53,22.92,14.97,1009.30,24.11,39.18
200.96,00:03:20,,,15.07,0.96,14.49,,,1009.30,24.11,39.15
204.92,00:03:24,9.61,836.00,18.80,1.02,19.30,23.09,15.07,1009.10,24.10,39.14
209.07,00:03:29,8.51,740.67,14.58,1.13,16.48,22.25,14.92,1009.10,24.11,39.12
212.99,00:03:32,6.17,537.17,15.84,0.83,13.18,24.54,15.27,1008.70,24.11,39.14
219.1,00:03:39,6.83,594.00,10.59,1.23,13.11,22.07,14.92,1009.00,24.11,39.14
222.74,00:03:42,7.60,661.33,14.99,0.96,14.40,21.77,14.67,1008.80,24.12,39.14
225.88,00:03:45,8.16,709.67,18.11,0.88,16.09,22.67,14.86,1009.20,24.12,39.18
229.62,00:03:49,7.10,617.83,16.19,0.86,14.03,22.71,14.84,1008.70,24.12,39.18
232.58,00:03:52,8.37,727.83,18.98,0.93,17.79,24.44,15.34,1009.10,24.12,39.18
236.18,00:03:56,7.63,663.50,17.71,0.91,16.13,24.31,15.28,1008.90,24.12,39.18
238.7,00:03:58,8.54,743.17,19.31,0.93,18.01,24.23,15.28,1008.80,24.13,39.17
242.11,00:04:02,7.65,665.17,20.43,0.85,17.43,26.20,15.65,1009.00,24.12,39.19
245.25,00:04:05,7.05,613.17,19.21,0.87,16.74,27.30,15.87,1008.90,24.13,39.19
248.5,00:04:08,8.35,726.67,19.36,0.95,18.47,25.42,15.56,1009.20,24.13,39.20
251.59,00:04:11,7.60,661.17,18.02,0.97,17.62,26.65,15.83,1009.00,24.13,39.22
255.89,00:04:15,7.52,654.67,14.67,1.25,18.34,28.01,16.20,1008.80,24.14,39.21
259,00:04:19,6.94,603.67,19.22,0.91,17.64,29.22,16.24,1008.90,24.13,39.24
262.15,00:04:22,5.51,479.67,19.95,0.70,14.00,29.19,16.04,1008.90,24.14,39.26
265.08,00:04:25,5.30,461.17,16.58,0.80,13.40,29.06,16.13,1009.10,24.14,39.27
269.38,00:04:29,6.51,566.00,16.15,0.92,14.86,26.25,15.71,1008.80,24.14,39.29
272.64,00:04:32,6.11,531.17,17.17,0.82,14.21,26.75,15.73,1008.70,24.14,39.29
278.04,00:04:38,9.89,860.50,10.17,2.14,21.81,25.35,15.89,1008.50,24.15,39.33
282.04,00:04:42,6.23,542.33,18.15,0.93,17.01,31.36,16.57,1009.00,24.15,39.37
285.42,00:04:45,4.97,432.00,18.16,0.73,13.30,30.79,16.33,1009.20,24.15,39.39
289.08,00:04:49,4.61,400.83,16.82,0.68,11.54,28.79,15.95,1008.70,24.16,39.41
291.48,00:04:51,5.82,506.00,19.16,0.76,14.60,28.85,16.05,1008.70,24.16,39.42
295.3,00:04:55,6.22,541.50,19.02,0.73,13.94,25.74,15.43,1009.20,24.16,39.41
298.64,00:04:58,6.22,541.00,18.23,0.76,13.88,25.66,15.44,1008.90,24.16,39.44
301.46,00:05:01,7.32,636.50,19.82,0.80,15.97,25.09,15.36,1008.70,24.16,39.45
304.34,00:05:04,7.76,674.83,20.83,0.80,16.87,25.00,15.35,1008.90,24.16,39.49
307.26,00:05:07,9.85,856.67,19.91,1.03,20.63,24.08,15.32,1008.90,24.17,39.54
310.49,00:05:10,10.45,909.17,17.50,1.34,23.55,25.90,15.85,1008.40,24.17,39.63
313.51,00:05:13,8.84,769.00,19.87,1.12,22.31,29.01,16.32,1009.30,24.17,39.75
317.32,00:05:17,7.99,695.33,16.85,1.20,20.29,29.18,16.37,1008.30,24.17,39.87
