Time[s],Type[type],Value[value],Details
-179.3,DeviceError,197,Error Code: 197
-169.4,DeviceError,209,Error Code: 209
-157.8,DeviceError,192,Error Code: 192
-157.3,DeviceError,184,Error Code: 184
-151,DeviceError,197,Error Code: 197
-147,DeviceError,197,Error Code: 197
-146.6,DeviceError,122,Breath rejected; segment too short.
-146.6,DeviceError,209,Error Code: 209
-143.5,DeviceError,209,Error Code: 209
-137.9,DeviceError,168,Error Code: 168
-136.1,DeviceError,209,Error Code: 209
-132,DeviceError,197,Error Code: 197
-127.1,DeviceError,209,Error Code: 209
-123,DeviceError,197,Error Code: 197
-120.8,DeviceError,168,Error Code: 168
-120.4,DeviceError,168,Error Code: 168
-108.4,DeviceError,209,Error Code: 209
-104.5,DeviceError,191,Error Code: 191
-93.4,DeviceError,122,Breath rejected; segment too short.
-93.3,DeviceError,209,Error Code: 209
-83,DeviceError,197,Error Code: 197
-80.1,DeviceError,209,Error Code: 209
-53,DeviceError,197,Error Code: 197
-43.2,DeviceError,209,Error Code: 209
-41,DeviceError,197,Error Code: 197
-40.5,DeviceError,209,Error Code: 209
-38.6,DeviceError,197,Error Code: 197
-35.4,DeviceError,209,Error Code: 209
-29.9,DeviceError,209,Error Code: 209
-24.6,DeviceError,191,Error Code: 191
-22.8,DeviceError,209,Error Code: 209
-22.3,DeviceError,168,Error Code: 168
-22.1,DeviceError,168,Error Code: 168
-21.4,DeviceError,168,Error Code: 168
-20.3,DeviceError,168,Error Code: 168
-19.8,DeviceError,168,Error Code: 168
-19.8,DeviceError,168,Error Code: 168
-19.8,DeviceError,168,Error Code: 168
-19.2,DeviceError,168,Error Code: 168
-18.5,DeviceError,191,Error Code: 191
-14,DeviceError,197,Error Code: 197
-13.6,DeviceError,122,Breath rejected; segment too short.
-6.6,DeviceError,197,Error Code: 197
-1.9,DeviceError,209,Error Code: 209
-1.6,DeviceError,197,Error Code: 197
0,DeviceError,168,Error Code: 168
0,DeviceError,168,Error Code: 168
0,DeviceError,191,Error Code: 191
0,DeviceError,168,Error Code: 168
