Time[s],Time[hh:mm:ss],VO2[mL/kg/min],VO2[mL/min],Rf[bpm],Tv[L],Ve[L/min],Ve/VO2,FeO2[%],Pressure[hPa],Temp[C],HUM[%RH]
0.52,00:00:00,3.53,251.50,18.88,0.43,8.25,32.80,16.03,1003.60,25.53,42.18
3.2,00:00:03,3.67,261.17,22.13,0.40,8.92,34.15,16.09,1003.60,25.54,42.15
5.66,00:00:05,3.99,284.00,22.96,0.43,9.90,34.86,16.29,1003.70,25.53,42.14
8.33,00:00:08,3.47,247.00,24.31,0.33,8.15,33.00,15.52,1003.60,25.53,42.15
10.64,00:00:10,4.13,294.00,23.33,0.45,10.69,36.36,16.57,1003.50,25.53,42.13
13.53,00:00:13,3.81,271.50,21.91,0.43,9.48,34.92,16.31,1003.60,25.53,42.12
16.84,00:00:16,3.56,253.33,17.57,0.51,9.02,35.61,16.62,1003.60,25.52,42.09
19.95,00:00:19,3.65,260.00,19.24,0.48,9.42,36.23,16.63,1003.60,25.53,42.05
23.89,00:00:23,3.70,263.17,15.53,0.60,9.38,35.64,16.78,1003.60,25.52,42.03
27.09,00:00:27,3.51,250.17,19.27,0.46,8.92,35.66,16.50,1003.70,25.52,42.00
30.49,00:00:30,3.20,228.00,18.62,0.44,8.22,36.05,16.48,1003.70,25.51,41.98
33.91,00:00:33,3.52,250.83,16.25,0.59,9.63,38.39,17.06,1003.60,25.50,41.95
37.31,00:00:37,3.47,246.83,17.37,0.53,9.27,37.56,16.88,1003.60,25.50,41.94
40.82,00:00:40,3.29,234.00,18.26,0.49,8.98,38.38,16.88,1003.70,25.50,41.90
44.02,00:00:44,3.25,231.50,18.23,0.50,9.16,39.57,17.02,1003.70,25.50,41.89
47.42,00:00:47,3.15,224.00,17.98,0.48,8.69,38.79,16.91,1003.70,25.50,41.85
50.41,00:00:50,3.35,238.67,19.42,0.50,9.73,40.77,17.14,1003.70,25.49,41.82
53.51,00:00:53,3.28,233.83,19.95,0.46,9.30,39.77,16.97,1003.60,25.49,41.79
56.6,00:00:56,2.98,212.17,20.15,0.39,7.99,37.66,16.51,1003.70,25.49,41.78
58.66,00:00:58,2.71,192.67,28.27,0.27,7.75,40.22,15.99,1003.70,25.48,41.75
61.47,00:01:01,2.49,177.17,17.63,0.37,6.68,37.70,16.44,1003.70,25.48,41.76
65.61,00:01:05,2.76,196.50,16.37,0.48,7.87,40.05,17.03,1003.60,25.48,41.73
69.52,00:01:09,3.06,218.00,15.45,0.53,8.25,37.84,16.91,1003.70,25.47,41.73
73.64,00:01:13,3.12,221.83,14.12,0.56,8.01,36.11,16.78,1003.70,25.48,41.71
76.94,00:01:16,2.93,208.33,17.73,0.41,7.37,35.38,16.30,1003.60,25.46,41.70
80.67,00:01:20,2.87,204.00,17.15,0.45,7.72,37.84,16.72,1003.70,25.47,41.67
83.87,00:01:23,3.05,217.50,19.05,0.43,8.26,37.98,16.68,1003.70,25.46,41.66
