Time[s],Type[type],Value[value],Details
-159.2,DeviceError,122,Breath rejected; segment too short.
-158,DeviceError,53,User piece too big.
-140.6,DeviceError,151,Error Code: 151
-137.8,DeviceError,197,Error Code: 197
-135.6,DeviceError,168,Error Code: 168
-135.5,DeviceError,168,Error Code: 168
-135.3,DeviceError,168,Error Code: 168
-132.6,DeviceError,168,Error Code: 168
-132.6,DeviceError,168,Error Code: 168
-107,DeviceError,168,Error Code: 168
-107,DeviceError,168,Error Code: 168
-106.7,DeviceError,168,Error Code: 168
-11,DeviceError,168,Error Code: 168
-10.9,DeviceError,168,Error Code: 168
-10.8,DeviceError,168,Error Code: 168
-8.8,DeviceError,197,Error Code: 197
-7.2,DeviceError,209,Error Code: 209
-7.2,DeviceError,209,Error Code: 209
-7.1,DeviceError,209,Error Code: 209
-6.7,DeviceError,191,Error Code: 191
-0.7,DeviceError,209,Error Code: 209
0,DeviceError,197,Error Code: 197
0,DeviceError,209,Error Code: 209
0,DeviceError,209,Error Code: 209
0,DeviceError,209,Error Code: 209
0,DeviceError,191,Error Code: 191
0,DeviceError,168,Error Code: 168
0,DeviceError,168,Error Code: 168
0,DeviceError,209,Error Code: 209
0,DeviceError,168,Error Code: 168
0,SessionRecording,0,
0.5,DeviceError,168,Error Code: 168
1.7,DeviceError,168,Error Code: 168
2.1,DeviceError,168,Error Code: 168
28.8,DeviceError,209,Error Code: 209
32.9,DeviceError,191,Error Code: 191
76.4,DeviceError,197,Error Code: 197
106.3,DeviceError,209,Error Code: 209
149.7,DeviceError,209,Error Code: 209
153.3,DeviceError,191,Error Code: 191
164.6,DeviceError,197,Error Code: 197
180.2,DeviceError,197,Error Code: 197
287.9,DeviceError,64,Ventilation out of range.
297.8,DeviceError,53,User piece too big.
301.4,SessionPause,301,
301.4,DeviceError,197,Error Code: 197
301.4,DeviceError,209,Error Code: 209
301.4,SessionRecording,309,
477.6,DeviceError,197,Error Code: 197
488.8,DeviceError,197,Error Code: 197
520.5,DeviceError,209,Error Code: 209
523.4,DeviceError,191,Error Code: 191
531.4,DeviceError,64,Ventilation out of range.
571.2,DeviceError,53,User piece too big.
600.9,SessionPause,608,
600.9,DeviceError,209,Error Code: 209
600.9,DeviceError,209,Error Code: 209
600.9,DeviceError,197,Error Code: 197
600.9,DeviceError,197,Error Code: 197
600.9,DeviceError,122,Breath rejected; segment too short.
600.9,DeviceError,209,Error Code: 209
600.9,DeviceError,209,Error Code: 209
600.9,DeviceError,168,Error Code: 168
600.9,DeviceError,168,Error Code: 168
600.9,DeviceError,168,Error Code: 168
600.9,DeviceError,168,Error Code: 168
600.9,DeviceError,168,Error Code: 168
600.9,DeviceError,61,Low battery.
600.9,DeviceError,197,Error Code: 197
600.9,DeviceError,197,Error Code: 197
600.9,DeviceError,209,Error Code: 209
600.9,DeviceError,191,Error Code: 191
600.9,DeviceError,209,Error Code: 209
600.9,DeviceError,168,Error Code: 168
600.9,DeviceError,168,Error Code: 168
600.9,DeviceError,191,Error Code: 191
600.9,DeviceError,209,Error Code: 209
600.9,DeviceError,209,Error Code: 209
600.9,DeviceError,209,Error Code: 209
600.9,SessionRecording,679,
601.2,DeviceError,191,Error Code: 191
796.9,DeviceError,209,Error Code: 209
904.8,DeviceError,209,Error Code: 209
906.6,DeviceError,209,Error Code: 209
906.7,DeviceError,209,Error Code: 209
915.7,DeviceError,168,Error Code: 168
915.7,DeviceError,168,Error Code: 168
917,DeviceError,209,Error Code: 209
917,DeviceError,209,Error Code: 209
917.5,DeviceError,168,Error Code: 168
917.8,DeviceError,168,Error Code: 168
917.9,DeviceError,168,Error Code: 168
917.9,SessionPause,996,
917.9,DeviceError,168,Error Code: 168
917.9,SessionRecording,998,
1027.6,DeviceError,209,Error Code: 209
1107.1,DeviceError,209,Error Code: 209
1109.1,DeviceError,191,Error Code: 191
1148,DeviceError,209,Error Code: 209
1201,SessionPause,1281,
1201,DeviceError,209,Error Code: 209
1201,DeviceError,191,Error Code: 191
1201,DeviceError,209,Error Code: 209
1201,DeviceError,209,Error Code: 209
1201,DeviceError,209,Error Code: 209
1201,DeviceError,191,Error Code: 191
1201,DeviceError,209,Error Code: 209
1201,DeviceError,168,Error Code: 168
1201,DeviceError,168,Error Code: 168
1201,DeviceError,168,Error Code: 168
1201,DeviceError,168,Error Code: 168
1201,DeviceError,209,Error Code: 209
1201,DeviceError,209,Error Code: 209
1201,DeviceError,191,Error Code: 191
1201,DeviceError,122,Breath rejected; segment too short.
1201,DeviceError,209,Error Code: 209
1201,DeviceError,168,Error Code: 168
1201,DeviceError,168,Error Code: 168
1201,DeviceError,209,Error Code: 209
1201,DeviceError,168,Error Code: 168
1201,DeviceError,168,Error Code: 168
1201,DeviceError,168,Error Code: 168
1201,DeviceError,168,Error Code: 168
1201,DeviceError,168,Error Code: 168
1201,DeviceError,191,Error Code: 191
1201,SessionRecording,1340,
1281.1,DeviceError,197,Error Code: 197
1296.2,DeviceError,197,Error Code: 197
1407.2,DeviceError,209,Error Code: 209
1408.3,DeviceError,191,Error Code: 191
1459.3,DeviceError,209,Error Code: 209
1460.6,DeviceError,191,Error Code: 191
1462.4,DeviceError,73,Error Code: 73
1510.8,SessionPause,1650,
1510.8,SessionRecording,1652,
1539.1,DeviceError,209,Error Code: 209
1539.2,DeviceError,209,Error Code: 209
1539.2,DeviceError,209,Error Code: 209
1539.3,DeviceError,209,Error Code: 209
1547.2,DeviceError,209,Error Code: 209
1548.3,DeviceError,191,Error Code: 191
1549.8,DeviceError,209,Error Code: 209
1551.2,SessionPause,1692,
1551.2,DeviceError,209,Error Code: 209
1551.2,DeviceError,209,Error Code: 209
1551.2,DeviceError,168,Error Code: 168
1551.2,DeviceError,168,Error Code: 168
1551.2,DeviceError,168,Error Code: 168
1551.2,DeviceError,168,Error Code: 168
1551.2,DeviceError,209,Error Code: 209
1551.2,DeviceError,191,Error Code: 191
1551.2,DeviceError,209,Error Code: 209
1551.2,DeviceError,209,Error Code: 209
1551.2,DeviceError,73,Error Code: 73
1551.2,SessionRecording,1737,
1551.8,DeviceError,73,Error Code: 73
1555.5,DeviceError,73,Error Code: 73
1569.4,DeviceError,209,Error Code: 209
1570.6,DeviceError,197,Error Code: 197
1571.2,DeviceError,209,Error Code: 209
1575,DeviceError,209,Error Code: 209
1580.4,DeviceError,73,Error Code: 73
1583.2,DeviceError,197,Error Code: 197
1583.4,DeviceError,209,Error Code: 209
1584.6,DeviceError,191,Error Code: 191
1586.2,DeviceError,73,Error Code: 73
1593,DeviceError,209,Error Code: 209
1610.8,DeviceError,73,Error Code: 73
1614.9,DeviceError,73,Error Code: 73
1618.8,DeviceError,73,Error Code: 73
1620.6,DeviceError,73,Error Code: 73
1632.9,DeviceError,73,Error Code: 73
1638.8,DeviceError,73,Error Code: 73
1642.8,DeviceError,73,Error Code: 73
1654.9,DeviceError,73,Error Code: 73
1662.7,DeviceError,73,Error Code: 73
1672.5,DeviceError,73,Error Code: 73
1689.4,DeviceError,73,Error Code: 73
1691.2,DeviceError,73,Error Code: 73
1694.8,DeviceError,73,Error Code: 73
1698.5,DeviceError,73,Error Code: 73
1700.4,DeviceError,73,Error Code: 73
1702.1,DeviceError,73,Error Code: 73
1705.9,DeviceError,73,Error Code: 73
1708.1,DeviceError,73,Error Code: 73
1722.3,DeviceError,73,Error Code: 73
1743.9,DeviceError,73,Error Code: 73
1745.5,DeviceError,73,Error Code: 73
1747.7,DeviceError,73,Error Code: 73
1753.3,DeviceError,73,Error Code: 73
1801.9,SessionComplete,0,
