Time[s],Error[code],Description
-136.5,120,Calibration: waiting for user to start breathing.
-84.9,196,Error Code: 196
-71.6,122,Breath rejected; segment too short.
-71.5,122,Breath rejected; segment too short.
-67.8,196,Error Code: 196
-45,73,Error Code: 73
-16.6,73,Error Code: 73
-15.2,132,Oxygen sensor calibration waveform is volatile.
-13.7,73,Error Code: 73
-12.1,73,Error Code: 73
-10.5,73,Error Code: 73
-9,73,Error Code: 73
-8.2,209,Error Code: 209
-5.3,73,Error Code: 73
-3.7,73,Error Code: 73
-2.4,73,Error Code: 73
-0.4,73,Error Code: 73
0,73,Error Code: 73
1,73,Error Code: 73
1.8,209,Error Code: 209
1.9,209,Error Code: 209
4.3,73,Error Code: 73
5.8,73,Error Code: 73
7.3,73,Error Code: 73
8.9,73,Error Code: 73
10.6,73,Error Code: 73
12,52,User piece too small.
12,73,Error Code: 73
13.5,73,Error Code: 73
15,73,Error Code: 73
16.5,73,Error Code: 73
18.1,73,Error Code: 73
19.5,73,Error Code: 73
20.9,73,Error Code: 73
22.4,73,Error Code: 73
23.8,73,Error Code: 73
25.3,52,User piece too small.
25.3,73,Error Code: 73
26.7,73,Error Code: 73
28.1,73,Error Code: 73
29.5,73,Error Code: 73
31.2,73,Error Code: 73
32.6,52,User piece too small.
32.6,73,Error Code: 73
33.9,73,Error Code: 73
35.5,73,Error Code: 73
36.9,73,Error Code: 73
38.3,73,Error Code: 73
39.6,52,User piece too small.
39.8,73,Error Code: 73
41.8,120,Calibration: waiting for user to start breathing.
43.5,73,Error Code: 73
44.9,52,User piece too small.
44.9,73,Error Code: 73
46.4,73,Error Code: 73
47.9,73,Error Code: 73
49.3,73,Error Code: 73
50.7,73,Error Code: 73
52.1,73,Error Code: 73
53.4,73,Error Code: 73
55,52,User piece too small.
55,73,Error Code: 73
56.4,73,Error Code: 73
57.8,73,Error Code: 73
59.4,52,User piece too small.
59.4,73,Error Code: 73
60.7,73,Error Code: 73
62.2,73,Error Code: 73
63.6,52,User piece too small.
63.6,73,Error Code: 73
65,73,Error Code: 73
66.4,73,Error Code: 73
68,52,User piece too small.
68,73,Error Code: 73
69.2,73,Error Code: 73
70.7,73,Error Code: 73
72.2,52,User piece too small.
72.2,73,Error Code: 73
73.7,73,Error Code: 73
75.4,73,Error Code: 73
76.6,52,User piece too small.
76.6,73,Error Code: 73
78.5,73,Error Code: 73
79.9,73,Error Code: 73
81.4,52,User piece too small.
81.4,73,Error Code: 73
82.8,73,Error Code: 73
84.2,73,Error Code: 73
85.6,52,User piece too small.
85.6,73,Error Code: 73
86.9,73,Error Code: 73
88.3,73,Error Code: 73
89.7,52,User piece too small.
89.7,73,Error Code: 73
91,73,Error Code: 73
92.5,73,Error Code: 73
93.8,52,User piece too small.
93.8,73,Error Code: 73
94.9,73,Error Code: 73
96.5,73,Error Code: 73
97.6,52,User piece too small.
97.7,73,Error Code: 73
98.9,73,Error Code: 73
100.4,73,Error Code: 73
101.5,52,User piece too small.
101.5,73,Error Code: 73
102.8,73,Error Code: 73
104.2,73,Error Code: 73
105.3,52,User piece too small.
105.3,73,Error Code: 73
106.8,73,Error Code: 73
108.3,73,Error Code: 73
109.5,52,User piece too small.
109.5,73,Error Code: 73
110.7,73,Error Code: 73
112.3,73,Error Code: 73
113.5,52,User piece too small.
113.5,73,Error Code: 73
114.9,73,Error Code: 73
116.3,73,Error Code: 73
118,52,User piece too small.
118,120,Calibration: waiting for user to start breathing.
119.5,73,Error Code: 73
120.7,73,Error Code: 73
122.1,52,User piece too small.
122.1,73,Error Code: 73
123.5,73,Error Code: 73
125,73,Error Code: 73
126.3,52,User piece too small.
126.3,73,Error Code: 73
129.4,73,Error Code: 73
130.8,52,User piece too small.
130.8,73,Error Code: 73
132.1,73,Error Code: 73
133.7,73,Error Code: 73
135,52,User piece too small.
135.1,73,Error Code: 73
136.2,73,Error Code: 73
