Time[s],Time[hh:mm:ss],VO2[mL/kg/min],VO2[mL/min],Rf[bpm],Tv[L],Ve[L/min],Ve/VO2,FeO2[%],Pressure[hPa],Temp[C],HUM[%RH]
1.54,00:00:01,3.67,297.67,17.32,0.93,16.12,54.15,18.37,994.70,23.51,39.48
6.06,00:00:06,4.65,377.67,12.76,1.34,17.19,45.52,18.00,994.80,23.54,39.52
10.38,00:00:10,2.47,200.33,13.73,0.69,9.50,47.42,17.87,994.70,23.53,39.58
13.99,00:00:13,2.10,170.50,17.27,0.52,9.01,52.84,18.01,994.80,23.54,39.58
18.95,00:00:18,1.86,150.67,12.60,0.56,7.16,47.52,17.75,994.80,23.54,39.61
22.87,00:00:22,2.33,188.83,14.48,0.61,8.86,46.92,17.76,994.70,23.54,39.60
26.67,00:00:26,2.04,165.50,15.31,0.50,7.70,46.53,17.58,994.70,23.55,39.60
31.17,00:00:31,2.02,164.00,13.14,0.60,7.90,48.17,17.83,994.80,23.55,39.58
35.39,00:00:35,2.21,179.33,18.43,0.47,8.75,48.79,17.69,994.70,23.56,39.57
38.4,00:00:38,2.74,222.83,16.14,0.74,11.96,53.67,18.26,994.70,23.56,39.57
42.4,00:00:42,2.98,242.00,14.58,0.72,10.51,43.43,17.61,994.60,23.56,39.59
46.47,00:00:46,2.41,195.83,15.32,0.58,8.93,45.60,17.63,994.60,23.56,39.57
49.89,00:00:49,2.16,175.17,16.67,0.51,8.62,49.21,17.79,994.70,23.57,39.56
53.61,00:00:53,2.20,178.67,18.59,0.52,9.78,54.74,18.12,994.70,23.57,39.53
56.47,00:00:56,2.15,174.67,19.55,0.49,9.60,54.96,18.08,994.70,23.57,39.54
59.79,00:00:59,2.08,169.17,19.34,0.49,9.50,56.16,18.14,994.60,23.57,39.54
63.48,00:01:03,2.15,174.83,16.24,0.59,9.60,54.91,18.20,994.70,23.57,39.54
66.49,00:01:06,2.11,171.33,17.03,0.50,8.55,49.90,17.81,994.60,23.57,39.51
69.78,00:01:09,2.21,179.83,21.25,0.47,10.00,55.61,18.08,994.60,23.58,39.50
72.54,00:01:12,2.40,194.50,19.82,0.55,10.98,56.45,18.24,994.60,23.58,39.50
75.96,00:01:15,2.50,203.17,19.24,0.55,10.65,52.42,18.03,994.60,23.58,39.51
82,00:01:22,4.16,338.17,9.30,1.42,13.29,39.30,17.55,994.70,23.58,39.51
86.42,00:01:26,2.34,189.83,13.19,0.57,7.59,39.98,17.16,994.70,23.59,39.53
90.36,00:01:30,1.81,146.83,15.23,0.40,6.12,41.68,16.92,994.70,23.59,39.53
95.48,00:01:35,2.21,179.17,11.64,0.66,7.76,43.31,17.55,994.70,23.60,39.53
99.12,00:01:39,2.32,188.50,16.06,0.52,8.36,44.35,17.45,994.70,23.60,39.52
103.11,00:01:43,2.31,187.83,15.72,0.55,8.70,46.32,17.65,994.70,23.60,39.52
107.02,00:01:47,2.55,207.17,14.98,0.60,9.08,43.83,17.53,994.70,23.61,39.51
110.2,00:01:50,2.71,220.33,20.99,0.48,10.27,46.61,17.56,994.70,23.61,39.50
113.89,00:01:53,2.73,222.00,14.68,0.65,9.68,43.60,17.57,994.70,23.61,39.49
116.86,00:01:56,2.75,223.00,21.07,0.46,9.75,43.72,17.28,994.70,23.61,39.49
120.17,00:02:00,2.73,221.83,18.35,0.57,10.54,47.51,17.76,994.70,23.62,39.49
123.57,00:02:03,2.67,217.17,17.69,0.55,9.86,45.40,17.59,994.70,23.62,39.47
126.95,00:02:06,2.64,214.50,18.04,0.55,10.07,46.95,17.70,994.70,23.63,39.46
130.85,00:02:10,2.36,192.00,17.50,0.52,9.22,48.02,17.73,994.80,23.63,39.46
134.24,00:02:14,2.48,201.33,14.87,0.58,8.68,43.11,17.44,994.80,23.63,39.44
138.23,00:02:18,2.48,201.67,17.26,0.52,9.00,44.63,17.47,994.70,23.63,39.42
141.41,00:02:21,2.32,188.33,19.26,0.46,8.87,47.10,17.54,994.70,23.64,39.42
143.99,00:02:23,2.38,193.50,22.56,0.46,10.43,53.90,17.97,994.60,23.64,39.43
147.12,00:02:27,2.23,181.00,19.14,0.50,9.67,53.43,18.02,994.70,23.64,39.41
149.98,00:02:29,2.49,202.00,18.70,0.54,10.19,50.45,17.90,994.70,23.64,39.41
153.27,00:02:33,2.41,195.33,18.36,0.51,9.49,48.58,17.75,994.70,23.64,39.39
157.57,00:02:37,2.12,172.17,15.59,0.53,8.35,48.50,17.77,994.70,23.65,39.37
160.63,00:02:40,2.19,178.00,18.50,0.48,9.06,50.90,17.85,994.70,23.65,39.37
163.93,00:02:43,2.50,203.33,17.09,0.58,9.93,48.84,17.85,994.60,23.66,39.36
167.21,00:02:47,2.40,194.50,17.91,0.50,8.96,46.07,17.55,994.70,23.67,39.35
170.22,00:02:50,2.39,193.67,20.06,0.48,9.67,49.93,17.77,994.60,23.67,39.35
173.43,00:02:53,2.45,199.17,19.44,0.51,10.09,50.66,17.88,994.70,23.67,39.33
176.41,00:02:56,2.35,190.67,18.39,0.49,9.03,47.36,17.62,994.70,23.67,39.34
179.58,00:02:59,2.73,221.67,19.28,0.55,10.67,48.13,17.77,994.60,23.67,39.31
183.36,00:03:03,3.23,262.33,16.84,0.67,11.41,43.49,17.58,994.70,23.68,39.31
186.56,00:03:06,2.86,232.00,17.67,0.54,9.69,41.77,17.28,994.70,23.68,39.29
190.26,00:03:10,2.41,195.33,16.84,0.54,9.16,46.89,17.67,994.70,23.68,39.28
193.44,00:03:13,2.49,201.83,21.50,0.49,10.74,53.21,18.00,994.80,23.68,39.26
196.25,00:03:16,2.42,196.33,21.33,0.49,10.48,53.38,17.99,994.60,23.70,39.24
199.74,00:03:19,2.51,203.50,17.42,0.55,9.67,47.52,17.73,994.70,23.69,39.24
202.83,00:03:22,2.65,214.83,20.15,0.52,10.61,49.39,17.82,994.80,23.69,39.23
205.82,00:03:25,2.57,209.00,18.29,0.55,10.09,48.28,17.78,994.70,23.69,39.22
208.9,00:03:28,2.54,206.33,18.34,0.54,9.94,48.18,17.76,994.60,23.70,39.21
211.87,00:03:31,2.46,199.50,19.36,0.51,10.03,50.28,17.86,994.60,23.70,39.19
215.45,00:03:35,2.25,182.33,17.29,0.52,9.10,49.91,17.84,994.80,23.71,39.19
219.07,00:03:39,2.25,182.83,17.95,0.51,9.16,50.10,17.83,994.70,23.71,39.18
222.16,00:03:42,2.41,195.67,18.84,0.51,9.74,49.78,17.82,994.70,23.71,39.17
225.1,00:03:45,2.41,195.83,19.50,0.49,9.67,49.38,17.76,994.70,23.71,39.15
228.28,00:03:48,2.21,179.17,17.78,0.49,8.82,49.23,17.75,994.60,23.72,39.17
231.47,00:03:51,2.25,182.67,17.78,0.51,9.13,49.98,17.83,994.70,23.72,39.14
235.07,00:03:55,2.34,190.17,18.52,0.51,9.54,50.17,17.85,994.60,23.72,39.13
238.4,00:03:58,2.44,198.33,16.92,0.57,9.81,49.46,17.89,994.70,23.73,39.11
242.09,00:04:02,2.52,204.83,15.70,0.57,9.01,43.99,17.50,994.70,23.73,39.10
246,00:04:06,3.03,246.17,17.31,0.62,10.77,43.75,17.54,994.60,23.73,39.10
249.49,00:04:09,2.84,230.67,15.48,0.62,9.70,42.05,17.41,994.80,23.74,39.07
253.42,00:04:13,2.48,201.67,15.62,0.54,8.46,41.95,17.28,994.70,23.74,39.07
257.25,00:04:17,2.14,173.83,15.54,0.49,7.62,43.84,17.35,994.70,23.74,39.05
261.15,00:04:21,2.25,183.00,17.57,0.51,9.07,49.56,17.81,994.70,23.74,39.05
263.92,00:04:23,2.48,201.67,18.59,0.53,9.89,49.04,17.80,994.70,23.75,39.05
267.39,00:04:27,2.65,214.83,19.95,0.52,10.49,48.83,17.77,994.70,23.74,39.03
270.99,00:04:30,2.45,199.00,16.57,0.54,8.95,44.97,17.53,994.70,23.76,39.01
273.87,00:04:33,2.49,202.17,19.19,0.50,9.73,48.13,17.70,994.60,23.76,39.00
277.89,00:04:37,2.66,216.17,14.59,0.63,9.20,42.56,17.46,994.70,23.77,39.00
280.96,00:04:40,2.97,241.17,18.02,0.57,10.44,43.29,17.45,994.70,23.78,39.00
284.94,00:04:44,2.80,227.33,15.73,0.59,9.29,40.87,17.26,994.70,23.77,38.99
287.91,00:04:47,2.56,208.17,22.06,0.40,8.85,42.51,17.00,994.80,23.77,38.97
291.32,00:04:51,1.98,160.83,17.99,0.46,8.30,51.61,17.84,994.70,23.78,38.96
295.13,00:04:55,2.63,213.83,16.84,0.63,10.69,49.99,17.98,994.70,23.78,38.94
299.45,00:04:59,2.40,195.17,12.91,0.62,8.09,41.45,17.36,994.70,23.79,38.93
302.3,00:05:02,4.30,348.83,19.28,0.74,14.45,41.42,17.47,994.60,23.81,38.84
305.69,00:05:05,3.36,272.83,20.12,0.59,11.93,43.73,17.50,994.60,23.82,38.87
308.17,00:05:08,3.58,291.00,24.54,0.57,13.99,48.08,17.79,994.60,23.82,38.86
311.92,00:05:11,2.52,204.83,15.54,0.57,8.98,43.84,17.50,994.70,23.82,38.84
316.04,00:05:16,3.19,259.00,14.59,0.77,11.26,43.47,17.65,994.70,23.83,38.84
319,00:05:19,3.02,244.83,18.28,0.56,10.31,42.11,17.33,994.60,23.83,38.85
322.41,00:05:22,2.97,241.50,18.99,0.59,11.21,46.42,17.70,994.70,23.84,38.82
324.98,00:05:24,2.45,199.17,23.15,0.36,8.36,41.97,16.78,994.60,23.84,38.84
330.83,00:05:30,4.25,344.83,9.80,1.52,14.91,43.24,17.87,994.70,23.84,38.81
336.49,00:05:36,2.10,170.50,12.12,0.48,5.93,34.78,16.41,994.70,23.84,38.83
339.81,00:05:39,1.96,159.00,16.15,0.45,7.27,45.72,17.41,994.70,23.86,38.85
