Time[s],Time[hh:mm:ss],VO2[mL/kg/min],VO2[mL/min],Rf[bpm],Tv[L],Ve[L/min],Ve/VO2,FeO2[%],Pressure[hPa],Temp[C],HUM[%RH]
0.41,00:00:00,2.52,188.67,13.72,0.53,7.34,38.90,17.07,1015.10,24.32,31.04
4.81,00:00:04,2.34,175.33,13.43,0.49,6.62,37.76,16.86,1015.00,24.32,31.03
9.89,00:00:09,2.36,177.33,10.04,0.74,7.44,41.96,17.58,1015.00,24.31,31.00
15.78,00:00:15,1.95,146.50,9.95,0.49,4.97,33.92,16.42,1015.00,24.31,30.99
20.09,00:00:20,2.87,215.50,18.62,0.45,8.46,39.26,16.93,1015.00,24.30,30.96
23.59,00:00:23,3.30,247.33,15.40,0.71,11.08,44.80,17.78,1015.00,24.30,30.95
27.99,00:00:27,2.96,222.33,13.96,0.62,8.68,39.04,17.22,1015.00,24.30,30.92
32.6,00:00:32,2.82,211.50,14.75,0.54,8.04,38.01,17.00,1015.00,24.30,30.87
36.53,00:00:36,2.49,186.83,12.37,0.57,7.15,38.27,17.08,1015.00,24.29,30.86
41.03,00:00:41,2.42,181.50,14.67,0.46,6.86,37.80,16.81,1015.00,24.29,30.84
46.16,00:00:46,2.27,170.17,12.76,0.51,6.53,38.37,16.97,1015.00,24.29,30.82
50.98,00:00:50,2.26,169.50,10.82,0.58,6.32,37.29,16.99,1014.90,24.28,30.80
55.51,00:00:55,2.54,190.17,13.99,0.52,7.37,38.75,17.04,1015.00,24.29,30.81
64.15,00:01:04,1.54,115.17,6.48,0.61,4.00,34.73,16.74,1015.00,24.28,30.77
69.56,00:01:09,2.43,182.17,11.58,0.57,6.61,36.28,16.86,1015.00,24.27,30.76
75.03,00:01:15,2.88,215.83,12.45,0.64,7.98,36.97,17.03,1015.00,24.27,30.74
82.01,00:01:22,2.11,158.00,7.61,0.70,5.40,34.18,16.79,1015.00,24.26,30.74
86.96,00:01:26,2.89,216.83,14.10,0.57,8.17,37.68,17.02,1015.00,24.26,30.73
92.41,00:01:32,2.49,186.67,10.87,0.63,6.87,36.80,17.00,1015.00,24.26,30.70
98.01,00:01:38,2.35,176.50,10.85,0.59,6.46,36.60,16.93,1014.90,24.25,30.68
102.72,00:01:42,2.68,200.67,13.00,0.58,7.66,38.17,17.09,1015.00,24.26,30.64
107.88,00:01:47,2.50,187.67,11.92,0.56,6.79,36.18,16.84,1015.00,24.25,30.63
