Time[s],Time[hh:mm:ss],VO2[mL/kg/min],VO2[mL/min],Rf[bpm],Tv[L],Ve[L/min],Ve/VO2,FeO2[%],Pressure[hPa],Temp[C],HUM[%RH]
1.25,00:00:01,5.95,336.67,28.63,0.46,13.44,39.92,16.96,996.70,23.53,40.14
4.56,00:00:04,4.34,245.50,20.68,0.50,10.45,42.57,17.28,996.70,23.53,40.10
7.45,00:00:07,3.97,224.50,19.09,0.47,9.08,40.45,17.03,996.60,23.54,40.05
10.75,00:00:10,4.00,226.67,20.11,0.46,9.40,41.47,17.10,996.70,23.54,40.02
13.86,00:00:13,3.94,223.17,20.69,0.44,9.14,40.96,16.99,996.70,23.54,39.98
16.54,00:00:16,3.83,216.67,18.54,0.46,8.63,39.83,16.94,996.70,23.54,39.99
21.63,00:00:21,3.97,224.83,13.49,0.67,9.15,40.70,17.35,996.70,23.54,39.95
25.16,00:00:25,4.26,241.00,15.69,0.61,9.60,39.83,17.20,996.70,23.54,39.93
28.74,00:00:28,3.72,210.83,17.75,0.44,7.84,37.19,16.58,996.70,23.54,39.92
31.97,00:00:31,3.48,197.00,18.54,0.40,7.55,38.32,16.60,996.70,23.54,39.88
35.39,00:00:35,3.45,195.17,17.99,0.44,8.07,41.35,17.04,996.70,23.54,39.88
38.18,00:00:38,3.88,219.50,20.48,0.43,8.99,40.96,16.98,996.80,23.54,39.86
41.4,00:00:41,3.72,210.33,17.89,0.47,8.42,40.03,16.97,996.70,23.54,39.87
44.32,00:00:44,4.06,229.67,20.62,0.47,9.78,42.58,17.22,996.80,23.54,39.86
47.22,00:00:47,4.12,233.00,20.06,0.50,10.07,43.22,17.33,996.80,23.54,39.85
50.31,00:00:50,4.12,233.33,19.03,0.52,9.95,42.64,17.32,996.70,23.54,39.82
54.35,00:00:54,3.52,199.50,16.67,0.48,8.05,40.35,17.03,996.70,23.54,39.78
57.53,00:00:57,3.48,196.83,17.96,0.45,8.22,41.76,17.10,996.70,23.54,39.75
61.15,00:01:01,3.21,181.67,14.62,0.50,7.36,40.51,17.09,996.80,23.54,39.71
65.06,00:01:05,3.49,197.33,17.59,0.43,7.73,39.17,16.80,996.80,23.54,39.71
68.71,00:01:08,3.44,194.67,16.44,0.45,7.50,38.53,16.78,996.70,23.55,39.70
71.45,00:01:11,3.12,176.33,16.57,0.38,6.44,36.52,16.31,996.70,23.54,39.69
75.62,00:01:15,3.22,182.00,17.59,0.38,6.80,37.36,16.40,996.80,23.55,39.69
78.33,00:01:18,3.57,202.17,22.08,0.35,7.87,38.93,16.44,996.70,23.55,39.69
81.52,00:01:21,3.53,199.67,19.52,0.40,7.84,39.26,16.68,996.70,23.54,39.67
84.85,00:01:24,2.82,159.67,13.89,0.41,5.79,36.26,16.39,996.70,23.55,39.66
89.48,00:01:29,3.14,177.50,13.99,0.47,6.69,37.69,16.75,996.70,23.55,39.63
93.4,00:01:33,3.75,212.00,18.57,0.44,8.20,38.68,16.76,996.70,23.55,39.62
96.54,00:01:36,3.74,211.67,17.47,0.47,8.27,39.07,16.88,996.70,23.55,39.64
100.89,00:01:40,3.48,197.17,14.74,0.50,7.44,37.73,16.81,996.80,23.55,39.61
104.1,00:01:44,3.78,213.83,17.73,0.47,8.49,39.70,16.96,996.80,23.55,39.57
107.52,00:01:47,3.09,174.83,19.09,0.32,6.28,35.92,15.88,996.70,23.55,39.56
109.29,00:01:49,3.32,187.67,23.27,0.30,7.00,37.30,15.85,996.60,23.56,39.53
113.12,00:01:53,4.18,236.50,18.00,0.55,9.95,42.07,17.32,996.70,23.56,39.55
115.98,00:01:55,4.24,239.83,20.52,0.49,10.26,42.78,17.29,996.60,23.55,39.53
119.12,00:01:59,3.78,214.00,18.28,0.50,9.22,43.08,17.33,996.70,23.56,39.49
122.44,00:02:02,3.92,222.00,18.32,0.54,10.05,45.27,17.57,996.80,23.56,39.46
125.45,00:02:05,3.74,211.50,21.47,0.41,8.85,41.84,16.98,996.70,23.55,39.42
128.26,00:02:08,3.50,198.33,21.97,0.38,8.56,43.16,17.02,996.70,23.56,39.40
131.17,00:02:11,3.39,191.67,19.74,0.43,8.63,45.03,17.33,996.80,23.56,39.36
134.58,00:02:14,3.04,172.17,16.75,0.44,7.38,42.86,17.16,996.80,23.56,39.34
137.88,00:02:17,3.00,170.00,20.51,0.33,6.90,40.59,16.52,996.70,23.56,39.31
139.95,00:02:19,3.00,169.83,19.62,0.36,7.18,42.28,16.84,996.80,23.56,39.32
143.98,00:02:23,2.41,136.50,21.07,0.28,6.07,44.47,16.56,996.80,23.56,39.31
146,00:02:26,3.14,177.83,20.59,0.40,8.42,47.35,17.43,996.80,23.56,39.30
149.34,00:02:29,3.15,178.50,21.39,0.35,7.59,42.52,16.81,996.70,23.57,39.29
152.34,00:02:32,2.67,151.33,20.00,0.31,6.26,41.37,16.44,996.70,23.56,39.28
154.83,00:02:34,3.56,201.33,20.43,0.49,10.06,49.97,17.80,996.80,23.56,39.27
158.47,00:02:38,3.60,204.00,19.47,0.42,8.34,40.88,16.94,996.70,23.57,39.27
161.48,00:02:41,3.43,194.17,20.06,0.40,8.15,41.97,16.97,996.70,23.57,39.26
163.89,00:02:43,3.61,204.33,23.45,0.39,9.21,45.07,17.20,996.70,23.56,39.24
166.89,00:02:46,3.57,202.00,19.91,0.47,9.50,47.03,17.57,996.70,23.56,39.24
169.79,00:02:49,3.42,193.33,20.72,0.39,8.10,41.90,16.91,996.80,23.56,39.20
171.98,00:02:51,3.45,195.00,20.87,0.40,8.37,42.92,17.04,996.70,23.57,39.19
