Time[s],Time[hh:mm:ss],VO2[mL/kg/min],VO2[mL/min],Rf[bpm],Tv[L],Ve[L/min],Ve/VO2,FeO2[%],Pressure[hPa],Temp[C],HUM[%RH]
2.5,00:00:02,5.73,305.50,27.56,0.66,18.25,59.74,18.51,1006.40,25.95,41.87
5.26,00:00:05,4.29,228.67,22.04,0.56,12.55,54.88,18.21,1006.50,25.96,41.85
7.64,00:00:07,3.73,199.00,23.79,0.50,12.09,60.75,18.41,1006.50,25.96,41.86
10.6,00:00:10,3.60,191.67,18.74,0.82,15.42,80.45,19.20,1006.50,25.97,41.89
14.22,00:00:14,3.69,196.50,18.15,0.70,12.79,65.09,18.74,1006.70,25.99,41.91
18.22,00:00:18,3.15,168.00,15.59,0.71,11.18,66.55,18.79,1006.70,25.99,41.92
21.83,00:00:21,2.87,152.83,16.83,0.51,8.75,57.25,18.27,1006.50,26.00,41.95
25.03,00:00:25,2.95,157.50,18.24,0.76,13.98,88.76,19.35,1006.60,26.01,41.96
28.49,00:00:28,3.33,177.50,17.35,0.69,12.03,67.77,18.82,1006.50,26.02,41.96
32.11,00:00:32,3.10,165.33,16.59,0.69,11.48,69.44,18.87,1006.60,26.03,41.99
35.61,00:00:35,3.05,162.50,17.16,0.66,11.45,70.46,18.88,1006.70,26.04,42.00
39.31,00:00:39,2.96,158.00,16.58,0.69,11.55,73.10,18.98,1006.70,26.05,42.01
43.03,00:00:43,3.03,161.67,15.99,0.66,10.68,66.06,18.75,1006.60,26.07,42.00
46.83,00:00:46,3.03,161.67,16.10,0.66,10.76,66.56,18.77,1006.60,26.07,42.00
50.8,00:00:50,2.68,143.00,14.93,0.57,8.63,60.35,18.47,1006.60,26.09,42.00
54,00:00:54,2.98,158.67,18.80,0.56,10.66,67.18,18.71,1006.40,26.09,42.00
58.71,00:00:58,4.36,232.17,12.23,1.27,15.61,67.24,18.96,1006.40,26.12,41.99
61.89,00:01:01,3.04,161.83,19.42,0.50,9.86,60.93,18.41,1006.60,26.13,42.00
64.85,00:01:04,2.64,140.50,21.72,0.44,9.75,69.40,18.64,1006.60,26.13,41.98
67.24,00:01:07,2.30,122.50,29.28,0.25,7.61,62.12,17.63,1006.60,26.14,41.96
68.31,00:01:08,2.95,157.17,29.97,0.31,9.44,60.06,17.88,1006.70,26.15,41.94
71.49,00:01:11,2.05,109.50,19.20,0.71,13.82,126.21,19.81,1006.60,26.15,41.92
75.61,00:01:15,2.94,156.83,15.61,0.82,12.84,81.87,19.23,1006.50,26.17,41.90
78.89,00:01:18,2.91,155.33,17.76,0.69,12.36,79.57,19.14,1006.60,26.18,41.85
83.22,00:01:23,2.67,142.17,14.60,0.70,10.36,72.87,18.98,1006.50,26.19,41.80
87.52,00:01:27,2.66,141.67,14.53,0.69,10.08,71.15,18.92,1006.50,26.20,41.74
90.12,00:01:30,3.11,165.67,23.46,0.44,10.55,63.68,18.44,1006.70,26.21,41.71
93.38,00:01:33,2.55,135.83,17.21,0.59,10.18,74.95,18.96,1006.50,26.21,41.66
97.18,00:01:37,2.51,134.00,15.66,0.62,9.76,72.84,18.93,1006.50,26.22,41.61
101.15,00:01:41,2.60,138.83,15.18,0.70,10.67,76.86,19.07,1006.60,26.24,41.54
104.95,00:01:44,2.72,144.83,15.73,0.66,10.53,72.71,18.95,1006.60,26.25,41.50
108.65,00:01:48,2.84,151.50,16.13,0.63,10.18,67.19,18.76,1006.60,26.25,41.45
112.27,00:01:52,2.75,146.33,16.85,0.60,10.17,69.50,18.82,1006.50,26.26,41.40
115.55,00:01:55,2.44,130.00,16.31,0.52,8.54,65.69,18.61,1006.60,26.27,41.29
120.56,00:02:00,2.25,120.00,14.02,0.45,6.37,53.08,17.95,1006.60,26.28,41.24
123.81,00:02:03,2.36,125.83,16.40,0.58,9.66,76.77,19.00,1006.50,26.28,41.22
126.62,00:02:06,2.95,157.33,23.41,0.35,8.30,52.76,17.65,1006.50,26.28,41.19
128.56,00:02:08,2.65,141.33,21.52,0.38,8.36,59.15,18.11,1006.60,26.29,41.16
131.76,00:02:11,2.96,157.67,26.76,0.44,11.92,75.60,18.83,1006.60,26.29,41.13
134.1,00:02:14,3.04,162.17,24.57,0.46,11.52,71.04,18.73,1006.40,26.29,41.12
136.98,00:02:16,2.65,141.00,19.49,0.53,10.35,73.40,18.87,1006.60,26.30,41.09
140.27,00:02:20,2.77,147.67,17.84,0.62,11.21,75.91,19.01,1006.60,26.30,41.03
143.97,00:02:23,2.79,148.67,16.09,0.70,11.36,76.41,19.06,1006.60,26.30,40.97
