Time[s],Type[type],Value[value],Details
-137.3,DeviceError,190,Error Code: 190
-137.3,DeviceError,191,Error Code: 191
-100.7,DeviceError,197,Error Code: 197
-89.2,DeviceError,197,Error Code: 197
-85.8,DeviceError,197,Error Code: 197
-77.8,DeviceError,197,Error Code: 197
-61.8,DeviceError,197,Error Code: 197
-39.3,DeviceError,197,Error Code: 197
-38.8,DeviceError,209,Error Code: 209
-38.8,DeviceError,209,Error Code: 209
-38.5,DeviceError,196,Error Code: 196
-37.8,DeviceError,209,Error Code: 209
-37.1,DeviceError,191,Error Code: 191
-36.1,DeviceError,121,Breath rejected; too jittery.
-35.7,DeviceError,209,Error Code: 209
-35,DeviceError,197,Error Code: 197
-34.7,DeviceError,197,Error Code: 197
-33.3,DeviceError,197,Error Code: 197
-32.8,DeviceError,197,Error Code: 197
-32.3,DeviceError,209,Error Code: 209
-31.6,DeviceError,168,Error Code: 168
-31.2,DeviceError,168,Error Code: 168
-31.2,DeviceError,168,Error Code: 168
-30.8,DeviceError,168,Error Code: 168
-30.8,DeviceError,168,Error Code: 168
-28.5,DeviceError,197,Error Code: 197
-28.4,DeviceError,122,Breath rejected; segment too short.
-28.4,DeviceError,209,Error Code: 209
-26,DeviceError,209,Error Code: 209
-25.8,DeviceError,209,Error Code: 209
-25.8,DeviceError,209,Error Code: 209
-23.2,DeviceError,197,Error Code: 197
-23.1,DeviceError,122,Breath rejected; segment too short.
-22.9,DeviceError,209,Error Code: 209
-22.7,DeviceError,122,Breath rejected; segment too short.
-21.8,DeviceError,196,Error Code: 196
-18.3,DeviceError,197,Error Code: 197
-17.4,DeviceError,209,Error Code: 209
-15,DeviceError,209,Error Code: 209
-14.8,DeviceError,122,Breath rejected; segment too short.
-14.5,DeviceError,122,Breath rejected; segment too short.
-14.4,DeviceError,209,Error Code: 209
-11.4,DeviceError,209,Error Code: 209
-11.2,DeviceError,122,Breath rejected; segment too short.
-8.4,DeviceError,197,Error Code: 197
-7.2,DeviceError,197,Error Code: 197
-6.8,DeviceError,209,Error Code: 209
-6.5,DeviceError,196,Error Code: 196
-5.6,DeviceError,209,Error Code: 209
-5.6,DeviceError,209,Error Code: 209
-5.5,DeviceError,168,Error Code: 168
-5.4,DeviceError,168,Error Code: 168
-1.4,DeviceError,56,Breathing less than valve trigger.
-1.4,DeviceError,191,Error Code: 191
-0.1,DeviceError,197,Error Code: 197
0,DeviceError,56,Breathing less than valve trigger.
0,DeviceError,122,Breath rejected; segment too short.
0,DeviceError,209,Error Code: 209
0,DeviceError,209,Error Code: 209
0,DeviceError,209,Error Code: 209
0,DeviceError,209,Error Code: 209
0,DeviceError,197,Error Code: 197
0,DeviceError,122,Breath rejected; segment too short.
0,DeviceError,209,Error Code: 209
0,DeviceError,196,Error Code: 196
0,DeviceError,122,Breath rejected; segment too short.
0,DeviceError,209,Error Code: 209
0,DeviceError,209,Error Code: 209
0,DeviceError,197,Error Code: 197
0,DeviceError,122,Breath rejected; segment too short.
0,DeviceError,191,Error Code: 191
0,DeviceError,209,Error Code: 209
0,DeviceError,122,Breath rejected; segment too short.
0,DeviceError,209,Error Code: 209
0,DeviceError,197,Error Code: 197
0,DeviceError,122,Breath rejected; segment too short.
0,DeviceError,197,Error Code: 197
0,DeviceError,209,Error Code: 209
0,DeviceError,196,Error Code: 196
0,DeviceError,209,Error Code: 209
0,DeviceError,209,Error Code: 209
0,DeviceError,168,Error Code: 168
0,DeviceError,168,Error Code: 168
0,DeviceError,197,Error Code: 197
0,DeviceError,197,Error Code: 197
0,SessionRecording,0,
195.1,DeviceError,197,Error Code: 197
196.4,DeviceError,197,Error Code: 197
198.7,DeviceError,122,Breath rejected; segment too short.
198.7,DeviceError,209,Error Code: 209
199,DeviceError,122,Breath rejected; segment too short.
225.5,DeviceError,197,Error Code: 197
232.2,DeviceError,197,Error Code: 197
232.9,DeviceError,209,Error Code: 209
233.2,DeviceError,197,Error Code: 197
233.4,DeviceError,122,Breath rejected; segment too short.
233.4,DeviceError,209,Error Code: 209
246.3,DeviceError,197,Error Code: 197
252.7,DeviceError,196,Error Code: 196
253.1,DeviceError,209,Error Code: 209
254.4,DeviceError,168,Error Code: 168
254.6,DeviceError,121,Breath rejected; too jittery.
254.7,DeviceError,122,Breath rejected; segment too short.
257,DeviceError,168,Error Code: 168
257.2,DeviceError,168,Error Code: 168
259.3,DeviceError,197,Error Code: 197
261,DeviceError,197,Error Code: 197
266.2,DeviceError,168,Error Code: 168
268.4,DeviceError,209,Error Code: 209
268.6,DeviceError,209,Error Code: 209
269.3,DeviceError,168,Error Code: 168
269.6,DeviceError,56,Breathing less than valve trigger.
269.7,DeviceError,191,Error Code: 191
274.7,DeviceError,197,Error Code: 197
283.3,DeviceError,197,Error Code: 197
300.9,SessionPause,300,
300.9,DeviceError,197,Error Code: 197
300.9,DeviceError,197,Error Code: 197
300.9,SessionRecording,305,
302,DeviceError,209,Error Code: 209
303,DeviceError,168,Error Code: 168
303.9,DeviceError,191,Error Code: 191
351.1,DeviceError,197,Error Code: 197
359.5,DeviceError,197,Error Code: 197
360.5,DeviceError,196,Error Code: 196
366.1,DeviceError,197,Error Code: 197
380.7,DeviceError,209,Error Code: 209
381.2,DeviceError,196,Error Code: 196
387.8,DeviceError,197,Error Code: 197
389.4,DeviceError,197,Error Code: 197
390.6,DeviceError,53,User piece too big.
390.6,DeviceError,196,Error Code: 196
392.9,DeviceError,197,Error Code: 197
393.4,DeviceError,209,Error Code: 209
393.4,DeviceError,122,Breath rejected; segment too short.
394.9,DeviceError,168,Error Code: 168
395.2,DeviceError,168,Error Code: 168
400.1,DeviceError,197,Error Code: 197
400.6,DeviceError,209,Error Code: 209
400.6,DeviceError,209,Error Code: 209
414.5,DeviceError,197,Error Code: 197
440.7,DeviceError,197,Error Code: 197
477,DeviceError,209,Error Code: 209
477.1,DeviceError,122,Breath rejected; segment too short.
477.3,DeviceError,122,Breath rejected; segment too short.
488.1,DeviceError,197,Error Code: 197
491.5,DeviceError,196,Error Code: 196
496.6,DeviceError,197,Error Code: 197
500.3,DeviceError,197,Error Code: 197
531.8,DeviceError,197,Error Code: 197
600.7,SessionPause,605,
600.7,DeviceError,209,Error Code: 209
600.7,DeviceError,209,Error Code: 209
600.7,DeviceError,168,Error Code: 168
600.7,DeviceError,168,Error Code: 168
600.7,DeviceError,191,Error Code: 191
600.7,DeviceError,209,Error Code: 209
600.7,DeviceError,168,Error Code: 168
600.7,DeviceError,191,Error Code: 191
600.7,DeviceError,209,Error Code: 209
600.7,DeviceError,209,Error Code: 209
600.7,DeviceError,197,Error Code: 197
600.7,DeviceError,209,Error Code: 209
600.7,DeviceError,209,Error Code: 209
600.7,DeviceError,197,Error Code: 197
600.7,DeviceError,209,Error Code: 209
600.7,DeviceError,197,Error Code: 197
600.7,DeviceError,56,Breathing less than valve trigger.
600.7,DeviceError,209,Error Code: 209
600.7,DeviceError,168,Error Code: 168
600.7,DeviceError,168,Error Code: 168
600.7,DeviceError,191,Error Code: 191
600.7,DeviceError,197,Error Code: 197
600.7,DeviceError,209,Error Code: 209
600.7,DeviceError,209,Error Code: 209
600.7,DeviceError,122,Breath rejected; segment too short.
600.7,DeviceError,122,Breath rejected; segment too short.
600.7,DeviceError,209,Error Code: 209
600.7,DeviceError,209,Error Code: 209
600.7,DeviceError,168,Error Code: 168
600.7,DeviceError,168,Error Code: 168
600.7,DeviceError,168,Error Code: 168
600.7,DeviceError,168,Error Code: 168
600.7,DeviceError,168,Error Code: 168
600.7,DeviceError,168,Error Code: 168
600.7,DeviceError,168,Error Code: 168
600.7,DeviceError,168,Error Code: 168
600.7,DeviceError,168,Error Code: 168
600.7,DeviceError,168,Error Code: 168
600.7,DeviceError,168,Error Code: 168
600.7,DeviceError,168,Error Code: 168
600.7,DeviceError,168,Error Code: 168
600.7,DeviceError,168,Error Code: 168
600.7,DeviceError,209,Error Code: 209
600.7,DeviceError,196,Error Code: 196
600.7,DeviceError,122,Breath rejected; segment too short.
600.7,DeviceError,209,Error Code: 209
600.7,DeviceError,191,Error Code: 191
600.7,DeviceError,197,Error Code: 197
600.7,DeviceError,197,Error Code: 197
600.7,DeviceError,209,Error Code: 209
600.7,DeviceError,122,Breath rejected; segment too short.
600.7,DeviceError,209,Error Code: 209
600.7,DeviceError,168,Error Code: 168
600.7,DeviceError,168,Error Code: 168
600.7,DeviceError,168,Error Code: 168
600.7,DeviceError,168,Error Code: 168
600.7,DeviceError,168,Error Code: 168
600.7,DeviceError,168,Error Code: 168
600.7,DeviceError,168,Error Code: 168
600.7,DeviceError,168,Error Code: 168
600.7,DeviceError,168,Error Code: 168
600.7,DeviceError,168,Error Code: 168
600.7,DeviceError,168,Error Code: 168
600.7,DeviceError,168,Error Code: 168
600.7,DeviceError,191,Error Code: 191
600.7,DeviceError,197,Error Code: 197
600.7,DeviceError,168,Error Code: 168
600.7,DeviceError,209,Error Code: 209
600.7,DeviceError,168,Error Code: 168
600.7,DeviceError,209,Error Code: 209
600.7,DeviceError,168,Error Code: 168
600.7,DeviceError,168,Error Code: 168
600.7,DeviceError,168,Error Code: 168
