Time[s],Type[type],Value[value],Details
-176.5,DeviceError,53,User piece too big.
-149.1,DeviceError,151,Error Code: 151
-137.7,DeviceError,53,User piece too big.
-127.7,DeviceError,122,Breath rejected; segment too short.
-114.4,DeviceError,197,Error Code: 197
-80.4,DeviceError,197,Error Code: 197
-0.2,DeviceError,134,Error Code: 134
-0.2,DeviceError,129,Breath rejected; VO2 out of range.
0,DeviceError,129,Breath rejected; VO2 out of range.
0,DeviceError,134,Error Code: 134
0,SessionRecording,0,
5.4,DeviceError,129,Breath rejected; VO2 out of range.
8,DeviceError,197,Error Code: 197
54.3,DeviceError,197,Error Code: 197
58,DeviceError,53,User piece too big.
61.7,DeviceError,197,Error Code: 197
65.6,DeviceError,197,Error Code: 197
69.7,DeviceError,53,User piece too big.
69.7,DeviceError,197,Error Code: 197
74,DeviceError,197,Error Code: 197
78.1,DeviceError,197,Error Code: 197
82.4,DeviceError,53,User piece too big.
82.4,DeviceError,197,Error Code: 197
86.2,DeviceError,197,Error Code: 197
92.8,DeviceError,64,Ventilation out of range.
92.8,DeviceError,120,Calibration: waiting for user to start breathing.
96,DeviceError,53,User piece too big.
96,DeviceError,197,Error Code: 197
107.1,DeviceError,197,Error Code: 197
110.2,DeviceError,53,User piece too big.
190.8,DeviceError,168,Error Code: 168
258.4,DeviceError,197,Error Code: 197
272.2,DeviceError,197,Error Code: 197
300.8,SessionPause,300,
300.8,DeviceError,209,Error Code: 209
300.8,DeviceError,122,Breath rejected; segment too short.
300.8,SessionRecording,302,
302.3,DeviceError,209,Error Code: 209
309.6,DeviceError,191,Error Code: 191
443.4,DeviceError,168,Error Code: 168
527.4,DeviceError,64,Ventilation out of range.
533.7,DeviceError,64,Ventilation out of range.
552,DeviceError,209,Error Code: 209
602,SessionPause,603,
602,DeviceError,168,Error Code: 168
602,DeviceError,209,Error Code: 209
602,DeviceError,197,Error Code: 197
602,DeviceError,197,Error Code: 197
602,DeviceError,197,Error Code: 197
602,DeviceError,209,Error Code: 209
602,DeviceError,53,User piece too big.
602,DeviceError,197,Error Code: 197
602,DeviceError,197,Error Code: 197
602,DeviceError,197,Error Code: 197
602,DeviceError,197,Error Code: 197
602,DeviceError,197,Error Code: 197
602,DeviceError,209,Error Code: 209
602,DeviceError,191,Error Code: 191
602,DeviceError,197,Error Code: 197
602,DeviceError,209,Error Code: 209
602,DeviceError,191,Error Code: 191
602,DeviceError,197,Error Code: 197
602,DeviceError,209,Error Code: 209
602,DeviceError,168,Error Code: 168
602,DeviceError,168,Error Code: 168
602,DeviceError,168,Error Code: 168
602,DeviceError,168,Error Code: 168
602,DeviceError,168,Error Code: 168
602,DeviceError,168,Error Code: 168
602,DeviceError,168,Error Code: 168
602,DeviceError,168,Error Code: 168
602,DeviceError,121,Breath rejected; too jittery.
602,DeviceError,197,Error Code: 197
602,DeviceError,209,Error Code: 209
602,DeviceError,209,Error Code: 209
602,DeviceError,191,Error Code: 191
602,DeviceError,197,Error Code: 197
602,DeviceError,122,Breath rejected; segment too short.
602,DeviceError,197,Error Code: 197
602,DeviceError,168,Error Code: 168
602,DeviceError,197,Error Code: 197
602,DeviceError,209,Error Code: 209
602,DeviceError,168,Error Code: 168
602,DeviceError,168,Error Code: 168
602,DeviceError,168,Error Code: 168
602,DeviceError,168,Error Code: 168
