Time[s],Time[hh:mm:ss],VO2[mL/kg/min],VO2[mL/min],Rf[bpm],Tv[L],Ve[L/min],Ve/VO2,FeO2[%],Pressure[hPa],Temp[C],HUM[%RH]
5.4,00:00:05,,,12.54,0.32,4.11,,,1014.10,23.86,33.71
12.17,00:00:12,1.47,147.00,17.97,0.41,7.49,50.95,17.76,1014.10,23.86,33.86
16.71,00:00:16,0.88,87.83,11.80,0.30,3.65,41.56,16.52,1014.10,23.86,34.00
20.8,00:00:20,1.71,170.83,15.57,0.40,6.36,37.23,16.56,1014.10,23.86,34.15
25.08,00:00:25,1.94,193.17,15.99,0.43,6.94,35.93,16.49,1014.10,23.86,34.26
29.71,00:00:29,1.07,106.33,11.42,0.32,3.67,34.52,15.73,1014.10,23.85,34.44
34.23,00:00:34,1.71,170.50,14.53,0.39,5.79,33.96,16.09,1014.10,23.85,34.56
38.25,00:00:38,1.49,148.50,15.28,0.33,5.11,34.41,15.80,1014.10,23.85,34.66
42.06,00:00:42,1.69,168.67,15.68,0.36,5.67,33.62,15.86,1014.10,23.85,34.74
46.67,00:00:46,1.46,145.33,13.79,0.34,4.71,32.41,15.54,1014.10,23.85,34.85
50.16,00:00:50,1.18,117.83,16.53,0.26,4.36,37.00,15.49,1014.10,23.85,34.91
58.63,00:00:58,1.21,121.00,13.75,0.30,4.15,34.30,15.52,1014.10,23.84,35.08
92.8,00:01:32,,,9.83,0.27,2.69,,,1014.10,23.83,35.39
103.54,00:01:43,1.38,138.00,9.53,0.45,4.32,31.30,15.91,1014.10,23.83,35.45
111.75,00:01:51,1.25,124.50,18.37,0.25,4.73,37.99,15.54,1013.90,23.83,35.50
114.94,00:01:54,4.33,431.50,14.93,0.83,12.46,28.88,16.15,1014.10,23.83,35.52
118.61,00:01:58,3.22,321.17,14.65,0.66,9.74,30.33,16.20,1014.10,23.83,35.52
123.4,00:02:03,2.15,214.50,12.85,0.52,6.78,31.61,16.16,1014.10,23.83,35.54
127.9,00:02:07,2.18,217.67,15.25,0.50,7.68,35.28,16.60,1014.00,23.82,35.54
132.01,00:02:12,2.01,200.33,14.37,0.48,7.04,35.14,16.55,1014.10,23.82,35.56
136.56,00:02:16,1.73,172.67,13.48,0.42,5.75,33.30,16.12,1014.10,23.82,35.57
140.67,00:02:20,1.58,157.17,15.11,0.35,5.31,33.79,15.82,1014.10,23.83,35.60
144.3,00:02:24,1.85,184.00,13.97,0.43,6.09,33.10,16.12,1014.10,23.82,35.61
149.01,00:02:29,1.84,183.83,15.07,0.39,5.93,32.26,15.82,1014.10,23.82,35.65
151.88,00:02:31,1.88,187.83,15.14,0.40,6.09,32.42,15.88,1014.10,23.83,35.66
156.92,00:02:36,1.56,155.17,14.22,0.35,5.07,32.67,15.67,1014.10,23.82,35.69
160.91,00:02:40,1.93,192.83,15.69,0.40,6.28,32.57,15.90,1014.10,23.82,35.71
164.47,00:02:44,2.04,203.67,13.10,0.50,6.67,32.75,16.28,1014.00,23.82,35.72
168.67,00:02:48,2.30,229.50,17.45,0.46,8.03,34.99,16.45,1014.10,23.82,35.74
