Time[s],Time[hh:mm:ss],VO2[mL/kg/min],VO2[mL/min],Rf[bpm],Tv[L],Ve[L/min],Ve/VO2,FeO2[%],Pressure[hPa],Temp[C],HUM[%RH]
1.94,00:00:01,2.99,227.50,14.45,0.66,9.57,42.07,17.50,1009.50,23.33,35.88
6.13,00:00:06,2.84,216.17,14.05,0.71,10.01,46.31,17.86,1009.60,23.33,35.87
10.71,00:00:10,2.53,192.17,13.28,0.61,8.16,42.46,17.48,1009.50,23.33,35.85
14.81,00:00:14,2.55,193.83,14.44,0.62,8.97,46.28,17.78,1009.60,23.33,35.85
18.83,00:00:18,2.58,196.33,15.29,0.57,8.83,44.98,17.63,1009.60,23.33,35.85
22.99,00:00:22,3.14,238.33,14.51,0.79,11.46,48.08,18.02,1009.60,23.32,35.84
27.21,00:00:27,2.47,187.50,13.34,0.50,6.74,35.95,16.67,1009.50,23.33,35.85
32.42,00:00:32,2.08,158.17,11.16,0.50,5.61,35.47,16.60,1009.50,23.32,35.85
36.87,00:00:36,2.64,200.83,13.62,0.69,9.40,46.81,17.88,1009.50,23.33,35.84
41.97,00:00:41,2.56,194.50,12.95,0.57,7.44,38.25,17.05,1009.60,23.33,35.82
46.03,00:00:46,2.51,190.83,14.62,0.54,7.94,41.61,17.31,1009.60,23.32,35.83
49.96,00:00:49,2.79,211.67,15.26,0.63,9.66,45.64,17.75,1009.50,23.32,35.83
54.04,00:00:54,2.59,197.00,13.77,0.57,7.93,40.25,17.24,1009.50,23.32,35.81
58.67,00:00:58,2.59,197.00,13.57,0.58,7.98,40.51,17.28,1009.50,23.32,35.82
62.85,00:01:02,2.82,214.17,13.96,0.63,8.90,41.56,17.44,1009.50,23.32,35.82
67.1,00:01:07,2.80,212.50,14.18,0.58,8.30,39.06,17.15,1009.50,23.32,35.83
70.73,00:01:10,3.15,239.17,16.38,0.59,9.70,40.56,17.29,1009.50,23.32,35.85
74.68,00:01:14,3.01,229.00,15.40,0.58,9.08,39.65,17.21,1009.50,23.32,35.87
78.49,00:01:18,3.06,232.83,15.65,0.59,9.35,40.16,17.27,1009.50,23.32,35.85
82.01,00:01:22,3.39,257.50,16.68,0.61,10.20,39.61,17.23,1009.60,23.32,35.87
85.82,00:01:25,3.43,260.67,16.67,0.62,10.40,39.90,17.27,1009.50,23.32,35.92
89.34,00:01:29,3.21,244.00,15.74,0.61,9.68,39.67,17.24,1009.50,23.32,35.93
93.29,00:01:33,2.92,222.17,15.94,0.54,8.73,39.29,17.11,1009.50,23.32,35.95
96.7,00:01:36,2.82,214.33,17.25,0.50,8.73,40.73,17.17,1009.50,23.32,35.95
100.75,00:01:40,3.30,250.83,15.53,0.68,10.56,42.10,17.52,1009.50,23.32,35.95
108.23,00:01:48,3.92,297.83,7.35,1.78,13.11,44.02,18.01,1009.50,23.32,36.05
128.62,00:02:08,2.63,200.00,11.67,0.70,8.20,41.00,17.45,1009.50,23.33,36.14
132.88,00:02:12,3.43,260.67,13.01,0.73,9.62,36.90,17.10,1009.40,23.32,36.13
138.62,00:02:18,2.66,202.50,10.84,0.52,5.74,28.35,15.59,1009.50,23.32,36.14
141.64,00:02:21,2.87,217.83,16.30,0.43,7.04,32.32,15.96,1009.50,23.32,36.16
145.99,00:02:25,3.17,240.83,14.82,0.63,9.47,39.32,17.24,1009.40,23.32,36.13
150.65,00:02:30,3.86,293.17,12.94,0.83,10.76,36.70,17.15,1009.50,23.33,36.14
