Time[s],Time[hh:mm:ss],VO2[mL/kg/min],VO2[mL/min],Rf[bpm],Tv[L],Ve[L/min],Ve/VO2,FeO2[%],Pressure[hPa],Temp[C],HUM[%RH]
2.01,00:00:02,3.91,238.33,22.44,0.38,8.55,35.87,16.14,987.50,23.57,32.98
5.4,00:00:05,3.70,226.00,21.64,0.44,9.58,42.39,17.09,987.70,23.57,32.97
9.95,00:00:09,4.09,249.50,12.95,0.76,9.96,39.92,17.33,987.60,23.57,32.98
15.31,00:00:15,4.04,246.17,12.15,0.71,8.73,35.46,16.83,987.70,23.57,33.00
21.38,00:00:21,3.47,211.50,9.27,0.81,7.54,35.65,16.93,987.60,23.57,32.99
26.26,00:00:26,3.84,234.33,12.68,0.67,8.60,36.70,16.93,987.60,23.56,32.98
31.11,00:00:31,3.98,242.83,10.69,0.83,8.91,36.69,17.06,987.70,23.57,32.99
35.88,00:00:35,3.88,236.83,13.17,0.72,9.51,40.16,17.31,987.60,23.57,32.99
40.98,00:00:40,3.23,197.33,11.40,0.72,8.23,41.71,17.45,987.60,23.57,32.98
46.66,00:00:46,3.27,199.67,12.02,0.76,9.15,45.83,17.79,987.60,23.57,32.96
51.33,00:00:51,3.24,197.83,12.77,0.70,8.99,45.44,17.72,987.60,23.57,32.95
55.72,00:00:55,3.26,199.00,12.55,0.70,8.82,44.32,17.64,987.60,23.56,32.94
60.47,00:01:00,2.97,181.00,11.54,0.66,7.66,42.32,17.44,987.60,23.57,32.93
65.74,00:01:05,3.22,196.33,11.68,0.71,8.30,42.28,17.48,987.60,23.57,32.92
70.58,00:01:10,2.88,175.67,12.69,0.59,7.61,43.32,17.46,987.60,23.56,32.92
76.46,00:01:16,3.07,187.00,11.16,0.73,8.23,44.01,17.64,987.60,23.57,32.90
81.95,00:01:21,2.93,178.67,11.16,0.72,8.04,45.00,17.70,987.60,23.57,32.88
86.7,00:01:26,2.98,181.50,11.94,0.63,7.60,41.87,17.38,987.50,23.56,32.87
91.57,00:01:31,2.73,166.50,10.95,0.60,6.65,39.94,17.17,987.60,23.56,32.86
96.97,00:01:36,2.84,173.17,14.09,0.53,7.50,43.31,17.35,987.50,23.56,32.87
100.91,00:01:40,2.55,155.83,12.66,0.50,6.37,40.88,17.09,987.60,23.56,32.85
107.68,00:01:47,2.72,166.17,9.90,0.72,7.18,43.21,17.57,987.40,23.56,32.83
112.54,00:01:52,3.20,195.50,12.24,0.74,9.16,46.85,17.85,987.60,23.56,32.83
118.25,00:01:58,4.09,249.33,8.85,1.15,10.23,41.03,17.60,987.60,23.55,32.81
125.18,00:02:05,3.29,200.67,8.54,0.87,7.51,37.42,17.16,987.60,23.56,32.80
131.58,00:02:11,3.07,187.17,9.67,0.73,7.09,37.88,17.11,987.60,23.55,32.79
138.67,00:02:18,2.57,156.67,9.05,0.66,6.00,38.30,17.07,987.60,23.55,32.77
145.86,00:02:25,2.51,153.33,9.12,0.67,6.12,39.91,17.24,987.60,23.55,32.76
151.15,00:02:31,2.71,165.33,9.60,0.67,6.48,39.19,17.18,987.60,23.55,32.71
160.42,00:02:40,2.00,122.17,6.95,0.62,4.34,35.52,16.73,987.60,23.55,32.72
165.05,00:02:45,2.77,168.83,10.82,0.52,5.73,33.94,16.36,987.50,23.54,32.72
170.36,00:02:50,,,11.51,0.72,8.35,,,987.60,23.55,32.72
176.22,00:02:56,2.95,180.17,10.96,0.59,6.47,35.91,16.72,987.60,23.54,32.72
181.8,00:03:01,2.95,180.17,10.25,0.64,6.58,36.52,16.87,987.50,23.54,32.72
188.42,00:03:08,3.07,187.33,9.75,0.70,6.83,36.46,16.93,987.50,23.54,32.72
193.9,00:03:13,2.52,153.50,9.56,0.53,5.15,33.55,16.33,987.50,23.53,32.70
200.55,00:03:20,3.09,188.33,11.10,0.58,6.54,34.73,16.57,987.60,23.54,32.69
206.26,00:03:26,2.98,181.83,10.17,0.61,6.29,34.59,16.60,987.50,23.54,32.68
211.09,00:03:31,3.82,232.83,11.09,0.76,8.49,36.46,16.99,987.50,23.54,32.67
215.81,00:03:35,4.23,257.83,12.75,0.72,9.28,35.99,16.90,987.40,23.53,32.69
220.58,00:03:40,3.54,215.67,11.58,0.68,7.93,36.77,16.94,987.50,23.53,32.67
225.64,00:03:45,4.87,296.83,13.46,0.88,11.92,40.16,17.42,987.50,23.54,32.65
233.02,00:03:53,2.58,157.50,8.35,0.63,5.26,33.40,16.46,987.50,23.53,32.60
237.45,00:03:57,3.03,184.67,11.78,0.62,7.41,40.13,17.21,987.40,23.53,32.60
242.46,00:04:02,3.40,207.17,12.59,0.70,8.88,42.86,17.53,987.40,23.53,32.58
246.6,00:04:06,3.62,221.00,14.60,0.59,8.71,39.41,17.10,987.40,23.53,32.58
251.72,00:04:11,3.26,198.67,11.06,0.69,7.64,38.46,17.12,987.50,23.53,32.57
258.27,00:04:18,3.22,196.50,9.86,0.78,7.76,39.49,17.30,987.50,23.53,32.55
264.18,00:04:24,3.19,194.83,9.46,0.77,7.38,37.88,17.14,987.40,23.53,32.54
270.77,00:04:30,2.75,167.83,9.63,0.63,6.10,36.35,16.84,987.40,23.53,32.53
275.53,00:04:35,3.27,199.33,11.42,0.67,7.71,38.68,17.13,987.40,23.52,32.53
281.11,00:04:41,3.56,217.33,11.21,0.76,8.53,39.25,17.26,987.40,23.53,32.51
288.11,00:04:48,2.89,176.50,8.55,0.79,6.77,38.36,17.20,987.40,23.53,32.49
295.81,00:04:55,2.74,167.33,8.90,0.74,6.60,39.44,17.26,987.40,23.52,32.49
301.38,00:05:01,2.91,177.67,9.45,0.71,6.72,37.82,17.08,987.40,23.53,32.46
309.16,00:05:09,2.92,177.83,7.62,0.78,6.00,33.74,16.69,987.40,23.53,32.45
314.62,00:05:14,3.45,210.17,10.31,0.75,7.73,36.78,17.01,987.30,23.52,32.43
319.69,00:05:19,3.70,225.83,12.29,0.67,8.28,36.66,16.92,987.40,23.52,32.43
324.56,00:05:24,3.40,207.50,14.55,0.52,7.67,36.96,16.73,987.30,23.53,32.40
329.72,00:05:29,2.94,179.17,10.46,0.61,6.38,35.61,16.72,987.30,23.53,32.40
335.43,00:05:35,3.66,223.50,11.03,0.77,8.53,38.17,17.16,987.30,23.52,32.37
342.6,00:05:42,3.62,220.67,7.91,1.05,8.36,37.88,17.29,987.30,23.53,32.37
347.5,00:05:47,3.07,187.33,11.87,0.60,7.15,38.17,16.99,987.30,23.52,32.34
359.17,00:05:59,,,9.40,0.32,3.09,,,987.30,23.53,32.32
365.49,00:06:05,3.73,227.67,18.94,0.51,9.78,42.96,17.30,987.20,23.53,32.31
368.7,00:06:08,4.57,278.50,21.12,0.51,10.88,39.07,16.93,987.20,23.53,32.34
372.34,00:06:12,3.68,224.33,16.89,0.48,8.21,36.60,16.59,987.30,23.53,32.34
375.97,00:06:15,3.43,209.17,17.84,0.44,7.87,37.62,16.59,987.30,23.53,32.32
379.31,00:06:19,3.63,221.33,17.10,0.54,9.29,41.97,17.26,987.20,23.53,32.31
382.4,00:06:22,3.72,226.83,18.66,0.45,8.57,37.78,16.67,987.20,23.53,32.32
386.05,00:06:26,3.35,204.50,16.68,0.49,8.25,40.34,17.01,987.20,23.53,32.31
388.96,00:06:28,3.81,232.33,20.68,0.45,9.33,40.16,16.89,987.30,23.53,32.30
392.81,00:06:32,3.51,214.17,13.03,0.64,8.34,38.94,17.12,987.20,23.53,32.30
397.68,00:06:37,3.52,214.83,12.99,0.66,8.68,40.40,17.28,987.20,23.53,32.30
401.86,00:06:41,3.48,212.00,14.96,0.58,8.80,41.51,17.29,987.30,23.54,32.28
405.68,00:06:45,3.10,189.00,16.70,0.47,7.98,42.22,17.15,987.20,23.53,32.29
409.48,00:06:49,3.31,201.67,15.94,0.62,9.98,49.49,17.92,987.20,23.54,32.28
412.81,00:06:52,3.61,220.17,15.37,0.67,10.32,46.87,17.79,987.30,23.53,32.26
418.76,00:06:58,3.50,213.67,10.77,0.95,10.24,47.92,18.02,987.30,23.53,32.24
422.91,00:07:02,2.93,178.67,13.15,0.62,8.19,45.84,17.67,987.20,23.54,32.25
426.84,00:07:06,2.81,171.33,16.52,0.50,8.40,49.03,17.74,987.30,23.53,32.24
430.82,00:07:10,2.86,174.17,15.17,0.57,8.66,49.72,17.87,987.30,23.54,32.23
437.46,00:07:17,2.62,160.00,9.22,0.72,6.72,42.00,17.47,987.20,23.54,32.23
442.65,00:07:22,4.22,257.67,10.83,1.02,11.05,42.88,17.71,987.30,23.55,32.24
