Time[s],Type[type],Value[value],Details
-179.2,DeviceError,53,User piece too big.
-171.1,DeviceError,53,User piece too big.
-164.6,DeviceError,53,User piece too big.
-150.8,DeviceError,53,User piece too big.
-136.2,DeviceError,167,Error Code: 167
-135.6,DeviceError,168,Error Code: 168
-135.2,DeviceError,168,Error Code: 168
-135.1,DeviceError,168,Error Code: 168
-135,DeviceError,168,Error Code: 168
-134.9,DeviceError,168,Error Code: 168
-134.8,DeviceError,168,Error Code: 168
-134.7,DeviceError,168,Error Code: 168
-134.3,DeviceError,168,Error Code: 168
-134.3,DeviceError,168,Error Code: 168
-133.9,DeviceError,168,Error Code: 168
-133.9,DeviceError,168,Error Code: 168
-133.4,DeviceError,121,Breath rejected; too jittery.
-125.1,DeviceError,168,Error Code: 168
-125.1,DeviceError,168,Error Code: 168
-124.7,DeviceError,168,Error Code: 168
-124.7,DeviceError,168,Error Code: 168
-123.7,DeviceError,53,User piece too big.
-123.7,DeviceError,121,Breath rejected; too jittery.
-121.5,DeviceError,120,Calibration: waiting for user to start breathing.
-106.9,DeviceError,167,Error Code: 167
-104.6,DeviceError,121,Breath rejected; too jittery.
-96.4,DeviceError,121,Breath rejected; too jittery.
-95.3,DeviceError,122,Breath rejected; segment too short.
-92,DeviceError,167,Error Code: 167
-84.2,DeviceError,73,Error Code: 73
-79.2,DeviceError,53,User piece too big.
-79.2,DeviceError,73,Error Code: 73
-74.9,DeviceError,167,Error Code: 167
-74.5,DeviceError,120,Calibration: waiting for user to start breathing.
-59,DeviceError,167,Error Code: 167
-59,DeviceError,184,Error Code: 184
-46.5,DeviceError,73,Error Code: 73
-40.6,DeviceError,120,Calibration: waiting for user to start breathing.
-38,DeviceError,167,Error Code: 167
-32,DeviceError,167,Error Code: 167
-31.9,DeviceError,73,Error Code: 73
-19.9,DeviceError,167,Error Code: 167
-19.9,DeviceError,73,Error Code: 73
-15.4,DeviceError,167,Error Code: 167
0,DeviceError,167,Error Code: 167
0,DeviceError,73,Error Code: 73
0,DeviceError,167,Error Code: 167
0,DeviceError,73,Error Code: 73
0,DeviceError,167,Error Code: 167
0,DeviceError,73,Error Code: 73
0,DeviceError,120,Calibration: waiting for user to start breathing.
0,DeviceError,167,Error Code: 167
0,SessionRecording,0,
0,DeviceError,53,User piece too big.
0,DeviceError,121,Breath rejected; too jittery.
4.3,DeviceError,73,Error Code: 73
5.3,DeviceError,197,Error Code: 197
7.9,DeviceError,197,Error Code: 197
9.1,DeviceError,53,User piece too big.
9.1,DeviceError,197,Error Code: 197
12.7,DeviceError,167,Error Code: 167
16.3,DeviceError,73,Error Code: 73
36.7,DeviceError,120,Calibration: waiting for user to start breathing.
43.1,DeviceError,53,User piece too big.
43.1,DeviceError,73,Error Code: 73
51.9,DeviceError,167,Error Code: 167
55.8,DeviceError,73,Error Code: 73
65.6,DeviceError,167,Error Code: 167
69,DeviceError,167,Error Code: 167
71.1,DeviceError,53,User piece too big.
76.9,DeviceError,120,Calibration: waiting for user to start breathing.
80.8,DeviceError,167,Error Code: 167
91,DeviceError,53,User piece too big.
98.6,DeviceError,167,Error Code: 167
103.2,DeviceError,168,Error Code: 168
104,DeviceError,168,Error Code: 168
104.2,DeviceError,168,Error Code: 168
104.2,DeviceError,168,Error Code: 168
106,DeviceError,121,Breath rejected; too jittery.
109.3,DeviceError,168,Error Code: 168
109.4,DeviceError,168,Error Code: 168
109.6,DeviceError,168,Error Code: 168
110.4,DeviceError,168,Error Code: 168
110.4,DeviceError,168,Error Code: 168
110.8,DeviceError,168,Error Code: 168
111.5,DeviceError,168,Error Code: 168
114.1,DeviceError,167,Error Code: 167
114.1,DeviceError,53,User piece too big.
114.1,DeviceError,121,Breath rejected; too jittery.
