Time[s],Time[hh:mm:ss],VO2[mL/kg/min],VO2[mL/min],Rf[bpm],Tv[L],Ve[L/min],Ve/VO2,FeO2[%],Pressure[hPa],Temp[C],HUM[%RH]
494.65,00:08:14,6.93,422.67,14.56,0.93,13.57,32.11,16.57,987.40,25.13,30.94
497.85,00:08:17,5.34,325.67,18.44,0.54,10.00,30.71,15.91,987.40,25.13,30.94
500.63,00:08:20,5.07,309.17,22.09,0.44,9.93,32.12,15.88,987.50,25.12,30.96
505.57,00:08:25,6.25,381.50,16.48,0.71,11.85,31.06,16.24,987.40,25.12,30.99
508.7,00:08:28,5.48,334.17,18.17,0.51,9.41,28.16,15.39,987.40,25.12,31.00
511.91,00:08:31,5.68,346.50,19.49,0.51,10.13,29.24,15.60,987.30,25.12,31.00
515.07,00:08:35,5.54,338.00,21.36,0.48,10.40,30.77,15.77,987.40,25.12,31.01
518.46,00:08:38,3.77,229.67,19.59,0.32,6.42,27.95,14.37,987.40,25.12,31.03
520.3,00:08:40,4.20,256.50,22.66,0.33,7.56,29.47,14.76,987.40,25.11,31.02
524.01,00:08:44,3.90,238.17,20.56,0.34,7.10,29.81,14.92,987.40,25.11,31.03
525.18,00:08:45,4.02,245.50,33.66,0.26,8.77,35.72,15.07,987.20,25.11,31.02
526.74,00:08:46,6.42,391.33,27.65,0.46,12.73,32.53,15.98,987.20,25.11,31.04
530.21,00:08:50,6.95,424.17,20.69,0.58,12.11,28.55,15.62,987.40,25.11,31.04
532.38,00:08:52,6.93,422.83,25.16,0.49,12.40,29.33,15.54,987.30,25.11,31.04
535.63,00:08:55,5.77,351.83,20.56,0.49,10.10,28.71,15.42,987.40,25.11,31.04
539.41,00:08:59,4.59,280.00,18.37,0.43,8.05,28.75,15.24,987.40,25.11,31.03
547.53,00:09:07,5.07,309.17,27.59,0.36,10.18,32.93,15.64,987.30,25.10,31.02
551.11,00:09:11,5.28,322.33,20.49,0.46,9.55,29.63,15.51,987.40,25.10,31.01
553.47,00:09:13,7.50,457.33,20.66,0.61,12.76,27.90,15.56,987.30,25.10,31.03
556.71,00:09:16,6.03,368.00,19.55,0.51,10.00,27.17,15.17,987.40,25.10,31.03
560.09,00:09:20,5.18,316.00,18.39,0.50,9.38,29.68,15.65,987.30,25.10,31.00
564.51,00:09:24,7.31,446.00,12.46,1.08,13.55,30.38,16.41,987.30,25.09,30.98
567.9,00:09:27,6.35,387.33,17.89,0.68,12.29,31.73,16.31,987.50,25.10,30.95
572.09,00:09:32,6.09,371.33,14.94,0.81,12.21,32.88,16.60,987.40,25.09,30.93
575.75,00:09:35,5.73,349.33,16.62,0.67,11.20,32.06,16.34,987.50,25.09,30.91
578.83,00:09:38,4.98,303.50,17.23,0.57,9.95,32.78,16.30,987.40,25.09,30.89
583.07,00:09:43,4.66,284.33,15.35,0.62,9.62,33.83,16.52,987.50,25.09,30.86
586.89,00:09:46,3.58,218.50,15.82,0.42,6.65,30.43,15.48,987.50,25.08,30.85
590.65,00:09:50,2.97,181.17,18.56,0.31,5.77,31.85,15.02,987.50,25.08,30.83
593.82,00:09:53,2.87,175.00,17.02,0.32,5.58,31.89,15.17,987.50,25.08,30.82
597.72,00:09:57,2.07,126.00,16.66,0.26,4.47,35.48,15.16,987.50,25.08,30.86
600.89,00:10:00,2.71,165.17,18.93,0.29,5.65,34.21,15.30,987.50,25.08,30.84
604.79,00:10:04,2.69,163.83,17.70,0.30,5.32,32.47,15.03,987.50,25.07,30.83
607.6,00:10:07,3.90,237.83,18.47,0.38,7.12,29.94,15.21,987.50,25.07,30.87
610.05,00:10:10,6.78,413.50,19.29,0.59,11.51,27.84,15.51,987.20,25.07,30.87
612.44,00:10:12,6.14,374.33,24.13,0.43,10.58,28.26,15.14,987.20,25.07,30.85
615.33,00:10:15,6.57,400.83,22.15,0.57,12.65,31.56,16.10,987.40,25.07,30.87
618.62,00:10:18,5.35,326.17,19.31,0.52,10.14,31.09,15.93,987.30,25.06,30.83
622.18,00:10:22,5.73,349.33,16.65,0.68,11.35,32.49,16.41,987.50,25.06,30.81
625.17,00:10:25,5.50,335.33,18.76,0.56,10.61,31.64,16.11,987.30,25.06,30.79
628.22,00:10:28,5.60,341.50,20.09,0.56,11.29,33.06,16.30,987.40,25.05,30.77
631.93,00:10:31,4.31,262.83,17.81,0.46,8.24,31.35,15.80,987.40,25.05,30.75
635.58,00:10:35,3.98,242.83,16.89,0.46,7.78,32.04,15.90,987.40,25.05,30.72
639.37,00:10:39,3.38,206.00,15.81,0.39,6.18,30.00,15.25,987.40,25.05,30.74
643.22,00:10:43,3.21,196.00,16.99,0.35,6.04,30.82,15.19,987.40,25.04,30.70
645.69,00:10:45,3.98,242.50,18.49,0.42,7.82,32.25,15.80,987.40,25.05,30.70
649.53,00:10:49,3.38,206.33,19.40,0.32,6.34,30.73,14.96,987.40,25.04,30.70
652.34,00:10:52,3.67,223.67,18.02,0.37,6.81,30.45,15.27,987.40,25.04,30.69
656.41,00:10:56,3.70,225.50,13.75,0.47,6.48,28.74,15.36,987.40,25.04,30.70
659.44,00:10:59,5.17,315.17,15.73,0.54,8.60,27.29,15.29,986.80,25.03,30.71
662.63,00:11:02,4.61,281.00,21.69,0.34,7.41,26.37,14.11,987.50,25.04,30.68
