Time[s],Time[hh:mm:ss],VO2[mL/kg/min],VO2[mL/min],Rf[bpm],Tv[L],Ve[L/min],Ve/VO2,FeO2[%],Pressure[hPa],Temp[C],HUM[%RH]
0,00:00:00,,,23.25,0.66,15.40,,,,,
0.11,00:00:00,2.83,207.00,,,,74.40,18.98,1001.50,26.39,36.31
2.46,00:00:02,2.85,208.50,22.18,0.54,12.09,57.99,18.32,1001.50,26.40,36.35
6.27,00:00:06,2.21,161.33,15.02,0.51,7.69,47.67,17.70,1001.60,26.40,36.42
8.83,00:00:08,1.92,140.67,25.20,0.26,6.58,46.78,16.53,1001.60,26.39,36.48
13.63,00:00:13,1.98,145.00,15.44,0.39,6.15,42.41,17.01,1001.50,26.40,36.58
16.64,00:00:16,2.68,196.17,25.86,0.32,8.47,43.18,16.75,1001.60,26.40,36.62
19.22,00:00:19,1.72,126.00,18.67,0.28,5.27,41.83,16.25,1001.60,26.40,36.67
35.51,00:00:35,3.96,289.17,19.28,0.72,14.06,48.62,17.99,1001.40,26.38,36.93
39.22,00:00:39,3.61,264.00,15.84,0.48,7.64,28.94,15.52,1001.60,26.37,36.94
43.17,00:00:43,2.76,201.50,15.58,0.38,5.96,29.58,15.22,1001.50,26.36,36.95
50,00:00:50,5.35,391.00,13.95,0.85,11.92,30.49,16.36,1001.60,26.36,36.95
53.13,00:00:53,5.64,412.50,22.23,0.59,13.33,32.32,16.34,1001.50,26.36,36.94
55.39,00:00:55,3.88,283.50,30.02,0.29,8.80,31.04,14.76,1001.50,26.36,36.93
56.94,00:00:56,3.75,274.33,27.24,0.32,8.87,32.33,15.32,1001.50,26.35,36.91
59.54,00:00:59,2.78,203.33,22.83,0.30,6.92,34.03,15.41,1001.50,26.35,36.90
62.34,00:01:02,2.29,167.67,23.63,0.26,6.30,37.57,15.53,1001.50,26.35,36.90
71.13,00:01:11,,,11.23,0.25,2.89,,,1001.50,26.34,36.94
79.24,00:01:19,2.21,161.50,18.60,0.30,5.66,35.05,15.58,1001.50,26.32,37.03
86.17,00:01:26,3.74,273.17,21.56,0.41,8.84,32.36,15.84,1001.50,26.31,37.08
88.98,00:01:28,4.13,302.17,20.10,0.42,8.55,28.30,15.17,1001.60,26.31,37.11
91.57,00:01:31,3.14,229.50,27.54,0.25,7.04,30.68,14.11,1001.50,26.31,37.09
93.54,00:01:33,3.27,239.17,27.27,0.26,7.31,30.56,14.32,1001.50,26.30,37.10
95.56,00:01:35,3.81,278.17,24.34,0.33,8.12,29.19,14.79,1001.60,26.30,37.09
98.67,00:01:38,3.50,255.67,25.94,0.29,7.70,30.12,14.61,1001.60,26.29,37.10
100.42,00:01:40,2.88,210.83,25.50,0.26,6.83,32.40,14.69,1001.50,26.29,37.09
102.6,00:01:42,2.91,212.50,23.79,0.28,6.72,31.62,14.75,1001.60,26.28,37.10
107.59,00:01:47,2.70,197.67,24.37,0.27,6.58,33.29,14.89,1001.50,26.28,37.10
110.09,00:01:50,3.05,222.83,22.56,0.30,6.96,31.23,14.97,1001.50,26.27,37.09
122.11,00:02:02,2.88,210.17,22.50,0.31,7.00,33.31,15.37,1001.50,26.25,37.12
124.81,00:02:04,2.86,208.83,22.60,0.29,6.65,31.84,14.94,1001.60,26.25,37.13
127.28,00:02:07,2.72,199.00,25.12,0.26,6.66,33.47,14.85,1001.50,26.23,37.14
129.25,00:02:09,3.50,255.50,24.65,0.31,7.85,30.72,14.97,1001.50,26.23,37.11
132.36,00:02:12,3.99,291.83,22.23,0.39,8.79,30.12,15.39,1001.50,26.23,37.13
