Time[s],Time[hh:mm:ss],VO2[mL/kg/min],VO2[mL/min],Rf[bpm],Tv[L],Ve[L/min],Ve/VO2,FeO2[%],Pressure[hPa],Temp[C],HUM[%RH]
2.42,00:00:02,2.41,152.00,17.11,1.22,21.03,138.36,19.97,1001.90,24.81,30.66
5.24,00:00:05,2.53,159.50,28.99,0.30,8.89,55.74,17.58,1001.90,24.82,30.69
7.94,00:00:07,3.20,201.67,16.19,1.34,21.81,108.15,19.71,1001.60,24.82,30.74
11.3,00:00:11,4.32,272.33,17.88,1.33,23.90,87.76,19.43,1001.90,24.82,30.77
14.11,00:00:14,3.22,202.83,23.24,0.56,13.20,65.08,18.63,1001.60,24.82,30.84
16.75,00:00:16,8.11,510.83,21.79,1.42,30.99,60.67,18.76,1001.30,24.83,30.88
20.49,00:00:20,6.61,416.50,16.11,1.40,22.70,54.50,18.51,1001.90,24.83,31.00
23.93,00:00:23,7.68,483.67,17.17,1.45,24.91,51.50,18.38,1001.90,24.83,31.15
27.36,00:00:27,,,17.28,1.44,25.01,,,1001.70,24.83,31.35
30.96,00:00:30,6.81,428.83,16.37,1.33,21.79,50.81,18.32,1001.70,24.83,31.57
34.51,00:00:34,8.38,528.00,18.08,1.35,24.46,46.33,18.07,1001.40,24.83,31.72
36.57,00:00:36,6.24,393.17,29.83,0.57,17.16,43.65,17.50,1001.80,24.84,31.83
39.56,00:00:39,8.46,532.83,23.24,0.80,18.78,35.25,16.94,1001.40,24.84,31.96
41.54,00:00:41,10.71,674.83,27.63,0.72,19.91,29.50,16.07,1001.30,24.84,32.05
43.59,00:00:43,13.32,839.33,31.27,0.66,20.80,24.78,15.06,1000.50,24.84,32.12
47.89,00:00:47,15.75,992.00,14.16,1.32,18.80,18.95,13.92,1001.70,24.84,32.21
51.74,00:00:51,25.55,1609.67,13.81,2.20,30.38,18.87,14.12,1001.40,24.85,32.37
55.67,00:00:55,16.64,1048.50,15.43,1.37,21.19,20.21,14.37,1001.30,24.85,32.65
59.2,00:00:59,20.45,1288.50,17.05,1.44,24.60,19.09,14.02,1002.00,24.84,32.85
63.15,00:01:03,,,14.92,1.42,21.26,,,1001.20,24.85,33.11
67.67,00:01:07,,,13.16,1.85,24.36,,,1001.20,24.85,33.38
73.79,00:01:13,22.31,1405.50,11.25,1.89,21.33,15.18,12.40,1001.60,24.85,33.62
77.21,00:01:17,31.14,1962.00,14.95,1.92,28.77,14.66,12.10,1001.00,24.86,33.85
81.58,00:01:21,24.20,1524.83,13.33,1.76,23.50,15.41,12.48,1001.10,24.85,34.21
85.61,00:01:25,33.70,2123.17,15.38,2.15,33.22,15.65,12.70,1000.60,24.85,34.45
89.55,00:01:29,25.74,1621.83,14.41,1.76,25.46,15.70,12.64,1001.00,24.85,34.86
92.79,00:01:32,36.57,2304.00,18.17,2.06,37.51,16.28,13.00,1000.40,24.85,35.23
96.95,00:01:36,28.17,1774.67,14.25,2.11,30.11,16.97,13.33,1000.50,24.86,35.83
100.79,00:01:40,28.56,1799.00,15.95,1.94,31.07,17.27,13.44,1001.00,24.85,36.33
105.58,00:01:45,,,12.49,2.31,28.97,,,1000.40,24.85,36.97
110.89,00:01:50,30.58,1926.50,13.43,2.32,31.23,16.21,13.02,1000.40,24.86,37.44
114.44,00:01:54,32.76,2064.17,15.18,2.26,34.43,16.68,13.23,1000.30,24.86,37.88
118.11,00:01:58,31.49,1983.67,14.75,2.19,32.39,16.33,13.05,1000.90,24.86,38.37
122.51,00:02:02,32.30,2034.67,14.44,2.35,34.07,16.74,13.27,999.60,24.86,38.95
130.5,00:02:10,,,14.39,2.31,33.37,,,999.70,24.86,40.02
134.14,00:02:14,31.67,1995.17,16.12,2.07,33.48,16.78,13.25,1001.20,24.86,40.49
138.45,00:02:18,,,14.22,2.22,31.72,,,1000.50,24.86,40.93
142.6,00:02:22,34.08,2147.33,16.32,2.36,38.56,17.96,13.79,1000.10,24.86,41.33
145.84,00:02:25,27.47,1730.67,15.68,1.93,30.33,17.53,13.54,1000.40,24.86,41.77
149.24,00:02:29,,,17.75,2.09,37.27,,,999.60,24.86,42.12
153.51,00:02:33,28.50,1795.50,14.19,2.17,30.82,17.17,13.43,1000.20,24.86,42.53
157.79,00:02:37,33.92,2136.67,15.40,2.54,39.18,18.34,13.95,999.20,24.86,42.98
161.43,00:02:41,,,14.95,2.27,34.01,,,1000.60,24.86,43.44
165.48,00:02:45,30.50,1921.33,14.86,2.37,35.36,18.40,13.96,999.90,24.87,43.87
169.85,00:02:49,30.95,1949.67,14.54,2.37,34.48,17.69,13.68,1000.20,24.86,44.16
173.52,00:02:53,,,15.27,2.30,35.27,,,1000.60,24.86,44.45
