Time[s],Time[hh:mm:ss],VO2[mL/kg/min],VO2[mL/min],Rf[bpm],Tv[L],Ve[L/min],Ve/VO2,FeO2[%],Pressure[hPa],Temp[C],HUM[%RH]
2.01,00:00:02,3.51,231.67,20.10,0.34,6.84,29.52,14.99,1013.50,22.34,29.75
4.48,00:00:04,3.32,219.17,18.81,0.34,6.47,29.52,15.03,1013.50,22.34,29.75
7.56,00:00:07,3.25,214.50,19.80,0.32,6.48,30.21,15.03,1013.40,22.34,29.73
10.31,00:00:10,3.78,249.67,21.23,0.35,7.63,30.56,15.32,1013.50,22.35,29.72
14.15,00:00:14,3.84,253.33,19.05,0.39,7.49,29.57,15.34,1013.50,22.35,29.71
20.11,00:00:20,3.15,207.67,18.89,0.35,6.68,32.17,15.57,1013.50,22.35,29.67
23.42,00:00:23,2.81,185.33,19.04,0.34,6.53,35.23,15.97,1013.50,22.36,29.68
26.42,00:00:26,2.62,173.00,19.47,0.34,6.74,38.96,16.47,1013.50,22.35,29.65
29.19,00:00:29,2.44,161.33,18.84,0.35,6.77,41.96,16.85,1013.50,22.35,29.65
32.4,00:00:32,2.47,162.83,20.28,0.35,7.26,44.59,17.09,1013.50,22.36,29.63
35.81,00:00:35,3.15,208.17,20.45,0.37,7.74,37.18,16.42,1013.50,22.37,29.61
38.99,00:00:38,3.13,206.33,19.82,0.34,6.91,33.49,15.75,1013.50,22.37,29.60
42.07,00:00:42,3.42,225.83,19.32,0.38,7.37,32.64,15.81,1013.50,22.37,29.60
45.18,00:00:45,2.93,193.67,18.61,0.33,6.19,31.96,15.39,1013.50,22.37,29.57
47.77,00:00:47,2.84,187.67,20.36,0.30,6.21,33.09,15.34,1013.50,22.38,29.57
51.29,00:00:51,3.18,209.67,17.35,0.38,6.68,31.86,15.70,1013.50,22.38,29.58
54.94,00:00:54,3.52,232.00,20.30,0.36,7.43,32.03,15.63,1013.50,22.38,29.57
57.72,00:00:57,3.45,227.50,20.32,0.35,7.18,31.56,15.47,1013.50,22.38,29.55
60.81,00:01:00,3.67,242.00,19.23,0.39,7.64,31.57,15.72,1013.50,22.39,29.52
63.93,00:01:03,3.12,206.00,18.81,0.34,6.44,31.26,15.33,1013.50,22.39,29.53
66.39,00:01:06,3.05,201.00,19.35,0.33,6.41,31.89,15.37,1013.50,22.39,29.52
69.3,00:01:09,3.08,203.50,21.71,0.31,6.77,33.27,15.44,1013.50,22.39,29.52
71.88,00:01:11,3.13,206.33,21.06,0.32,6.88,33.34,15.58,1013.50,22.39,29.52
74.85,00:01:14,3.38,223.00,20.19,0.37,7.54,33.81,15.95,1013.50,22.39,29.51
78.49,00:01:18,3.30,217.83,20.16,0.35,7.23,33.19,15.77,1013.40,22.40,29.50
81.07,00:01:21,3.22,212.50,20.13,0.35,7.05,33.18,15.72,1013.50,22.40,29.48
83.96,00:01:23,2.84,187.17,19.11,0.32,6.22,33.23,15.55,1013.50,22.40,29.47
87.47,00:01:27,2.71,178.83,19.76,0.30,6.08,34.00,15.51,1013.50,22.40,29.47
90.35,00:01:30,2.87,189.67,19.15,0.33,6.38,33.64,15.67,1013.50,22.40,29.45
93.09,00:01:33,3.26,214.83,20.26,0.36,7.29,33.93,15.89,1013.50,22.41,29.43
97.03,00:01:37,3.10,204.67,18.76,0.36,6.88,33.62,15.88,1013.50,22.41,29.43
100.06,00:01:40,3.18,210.17,19.52,0.36,7.06,33.59,15.84,1013.50,22.41,29.42
103.16,00:01:43,3.03,200.00,19.80,0.33,6.68,33.40,15.66,1013.50,22.41,29.41
105.42,00:01:45,3.03,199.67,19.86,0.33,6.69,33.51,15.67,1013.50,22.42,29.41
108.36,00:01:48,3.15,208.00,21.30,0.33,7.05,33.89,15.70,1013.50,22.42,29.40
111.28,00:01:51,3.08,203.50,21.16,0.32,6.92,34.00,15.68,1013.50,22.41,29.37
113.99,00:01:53,3.21,212.00,21.56,0.33,7.25,34.20,15.78,1013.50,22.42,29.39
116.66,00:01:56,3.26,214.83,22.65,0.32,7.42,34.54,15.76,1013.40,22.42,29.38
120.09,00:02:00,3.34,220.33,20.90,0.35,7.41,33.63,15.82,1013.50,22.42,29.36
123.18,00:02:03,3.19,210.50,20.13,0.34,6.99,33.21,15.70,1013.50,22.42,29.36
125.33,00:02:05,3.19,210.33,20.54,0.34,7.02,33.38,15.69,1013.50,22.42,29.36
128.97,00:02:08,2.98,196.83,19.33,0.33,6.49,32.97,15.58,1013.50,22.43,29.33
132,00:02:12,2.52,166.50,19.70,0.29,5.78,34.71,15.50,1013.50,22.43,29.31
135.2,00:02:15,2.51,165.83,19.48,0.29,5.75,34.67,15.49,1013.50,22.43,29.32
137.65,00:02:17,2.69,177.50,20.07,0.30,6.14,34.59,15.60,1013.50,22.43,29.31
140.66,00:02:20,3.06,202.17,20.20,0.34,6.91,34.18,15.82,1013.50,22.43,29.30
144.16,00:02:24,3.09,204.17,20.16,0.33,6.82,33.40,15.67,1013.50,22.44,29.29
146.5,00:02:26,2.21,146.17,22.91,0.25,5.86,40.09,15.80,1013.40,22.44,29.30
149.19,00:02:29,3.39,223.83,20.87,0.42,8.80,39.32,16.83,1013.40,22.44,29.28
152.7,00:02:32,3.36,221.50,19.50,0.39,7.66,34.58,16.15,1013.40,22.44,29.29
155.52,00:02:35,4.13,272.33,20.33,0.48,9.89,36.32,16.68,1013.50,22.44,29.27
158.53,00:02:38,3.81,251.17,20.15,0.40,8.20,32.65,15.93,1013.40,22.44,29.25
161.54,00:02:41,3.48,229.67,20.09,0.37,7.57,32.96,15.84,1013.50,22.45,29.23
164.42,00:02:44,3.20,211.50,18.37,0.38,7.01,33.14,15.88,1013.50,22.45,29.21
167.51,00:02:47,2.55,168.50,18.13,0.31,5.80,34.42,15.69,1013.50,22.45,29.20
170.95,00:02:50,2.88,190.33,18.41,0.35,6.61,34.73,16.01,1013.50,22.45,29.20
173.93,00:02:53,2.80,184.83,19.57,0.34,6.65,35.98,16.06,1013.50,22.46,29.19
177.62,00:02:57,2.65,175.17,17.64,0.34,6.07,34.65,15.90,1013.50,22.46,29.17
180.22,00:03:00,2.78,183.50,19.79,0.33,6.58,35.86,15.99,1013.40,22.46,29.17
183.41,00:03:03,2.93,193.17,19.75,0.35,6.98,36.13,16.16,1013.50,22.46,29.15
187.1,00:03:07,3.09,204.00,19.41,0.37,7.28,35.69,16.21,1013.50,22.47,29.16
190.07,00:03:10,3.37,222.33,19.67,0.39,7.86,35.35,16.29,1013.50,22.47,29.14
192.94,00:03:12,3.22,212.50,20.69,0.35,7.26,34.16,15.87,1013.50,22.47,29.15
196.01,00:03:16,2.83,186.50,21.58,0.30,6.49,34.80,15.58,1013.50,22.47,29.13
198.48,00:03:18,2.90,191.50,18.60,0.34,6.50,33.94,15.83,1013.50,22.47,29.15
201.5,00:03:21,2.89,190.67,19.30,0.34,6.67,34.98,15.96,1013.50,22.48,29.12
204.9,00:03:24,2.68,177.17,19.52,0.32,6.29,35.50,15.87,1013.50,22.48,29.11
208.44,00:03:28,2.72,179.83,18.97,0.32,6.22,34.59,15.77,1013.50,22.47,29.11
