Time[s],Time[hh:mm:ss],VO2[mL/kg/min],VO2[mL/min],Rf[bpm],Tv[L],Ve[L/min],Ve/VO2,FeO2[%],Pressure[hPa],Temp[C],HUM[%RH]
1.2,00:00:01,2.04,128.33,14.48,0.77,11.28,87.90,19.33,1002.20,24.23,32.22
8.66,00:00:08,2.01,126.50,8.46,0.79,6.72,53.12,18.28,1002.20,24.23,32.28
14.79,00:00:14,2.47,155.50,10.65,0.75,8.05,51.77,18.19,1002.10,24.23,32.31
21.57,00:00:21,3.13,197.50,8.79,0.98,8.66,43.85,17.81,1002.10,24.23,32.37
28.09,00:00:28,3.41,215.00,9.29,0.95,8.90,41.40,17.62,1002.20,24.23,32.42
33.69,00:00:33,3.51,220.83,10.79,0.90,9.72,44.02,17.79,1002.10,24.24,32.43
39.07,00:00:39,3.46,217.83,10.35,0.98,10.17,46.69,18.00,1002.20,24.24,32.45
44.89,00:00:44,2.96,186.67,10.11,0.81,8.22,44.03,17.75,1002.10,24.24,32.46
52.56,00:00:52,2.98,187.50,8.32,1.06,8.84,47.15,18.06,1002.10,24.24,32.44
59.1,00:00:59,3.06,192.67,8.77,1.06,9.38,48.68,18.15,1002.10,24.24,32.44
64.59,00:01:04,3.29,207.00,11.09,0.91,10.19,49.23,18.13,1002.20,24.24,32.45
68.96,00:01:08,3.09,194.67,12.64,0.78,9.90,50.86,18.16,1002.10,24.24,32.44
75.56,00:01:15,2.97,187.00,9.62,0.95,9.17,49.04,18.13,1002.20,24.24,32.43
81.44,00:01:21,3.34,210.67,10.06,1.06,10.69,50.74,18.26,1002.20,24.23,32.40
87.77,00:01:27,3.43,215.83,9.72,1.15,11.25,52.12,18.36,1002.10,24.24,32.41
92.43,00:01:32,2.72,171.67,11.52,0.82,9.52,55.46,18.41,1002.20,24.24,32.38
99.7,00:01:39,2.63,165.50,8.47,0.94,8.04,48.58,18.10,1002.10,24.24,32.35
106.13,00:01:46,2.96,186.33,9.66,0.97,9.44,50.66,18.23,1002.20,24.24,32.34
111.55,00:01:51,3.13,197.00,9.92,0.95,9.48,48.12,18.08,1002.20,24.24,32.30
117.67,00:01:57,2.87,180.83,9.91,0.82,8.20,45.35,17.85,1002.10,24.24,32.30
123.53,00:02:03,3.22,202.83,10.27,0.96,9.94,49.01,18.14,1002.10,24.23,32.26
129.5,00:02:09,3.57,224.67,10.55,1.14,12.11,53.90,18.44,1002.20,24.24,32.25
136.14,00:02:16,2.84,178.83,9.24,1.05,9.72,54.35,18.44,1002.10,24.24,32.22
142.25,00:02:22,2.82,177.83,9.49,1.03,9.80,55.11,18.46,1002.10,24.23,32.19
148.46,00:02:28,2.68,168.83,9.29,1.00,9.35,55.38,18.47,1002.10,24.24,32.18
155.05,00:02:35,2.89,182.33,10.03,1.05,10.55,57.86,18.59,1002.10,24.24,32.15
160.36,00:02:40,2.86,180.17,10.88,1.02,11.16,61.94,18.74,1002.10,24.24,32.13
166.55,00:02:46,2.84,179.00,10.09,1.12,11.30,63.13,18.80,1002.10,24.23,32.11
171.74,00:02:51,2.80,176.17,11.06,1.05,11.66,66.19,18.88,1002.20,24.23,32.08
177.44,00:02:57,2.53,159.17,10.14,1.02,10.43,65.53,18.86,1002.10,24.24,32.06
183.24,00:03:03,2.90,182.50,10.92,1.10,12.05,66.03,18.89,1002.10,24.23,32.02
187.62,00:03:07,2.80,176.50,12.33,0.98,12.16,68.90,18.95,1002.10,24.23,32.00
193.95,00:03:13,2.37,149.50,10.19,0.91,9.27,62.01,18.71,1002.10,24.23,31.97
198.61,00:03:18,3.13,197.33,13.23,1.06,14.05,71.20,19.03,1002.20,24.23,31.95
203.5,00:03:23,2.77,174.67,10.71,1.11,11.90,68.13,18.96,1002.10,24.23,31.94
208.84,00:03:28,2.51,157.83,11.17,0.95,10.71,67.86,18.91,1002.10,24.23,31.91
214.96,00:03:34,2.47,155.83,10.89,0.99,10.87,69.76,18.98,1002.10,24.23,31.91
