Time[s],Type[type],Value[value],Details
-167.5,DeviceError,56,Breathing less than valve trigger.
-164.1,DeviceError,168,Error Code: 168
-158.8,DeviceError,197,Error Code: 197
-157.6,DeviceError,168,Error Code: 168
-157.5,DeviceError,168,Error Code: 168
-157.3,DeviceError,168,Error Code: 168
-152.7,DeviceError,56,Breathing less than valve trigger.
-151.3,DeviceError,168,Error Code: 168
-151,DeviceError,197,Error Code: 197
-136.1,DeviceError,168,Error Code: 168
-132.6,DeviceError,151,Error Code: 151
-129.9,DeviceError,197,Error Code: 197
-129.8,DeviceError,122,Breath rejected; segment too short.
-120.1,DeviceError,168,Error Code: 168
-113.5,DeviceError,197,Error Code: 197
-112.1,DeviceError,168,Error Code: 168
-105.4,DeviceError,197,Error Code: 197
-104.6,DeviceError,122,Breath rejected; segment too short.
-104.2,DeviceError,122,Breath rejected; segment too short.
-102.4,DeviceError,168,Error Code: 168
-102.4,DeviceError,168,Error Code: 168
-102,DeviceError,168,Error Code: 168
-101.8,DeviceError,168,Error Code: 168
-100.9,DeviceError,168,Error Code: 168
-100.9,DeviceError,168,Error Code: 168
-100.8,DeviceError,168,Error Code: 168
-99.8,DeviceError,168,Error Code: 168
-99.6,DeviceError,168,Error Code: 168
-89.2,DeviceError,197,Error Code: 197
-87.8,DeviceError,197,Error Code: 197
-2.9,DeviceError,190,Error Code: 190
-2.9,DeviceError,191,Error Code: 191
0,SessionRecording,0,
92.4,DeviceError,197,Error Code: 197
246.3,DeviceError,168,Error Code: 168
246.5,DeviceError,168,Error Code: 168
302.5,SessionPause,302,
302.5,DeviceError,53,User piece too big.
302.5,SessionRecording,309,
311.3,DeviceError,209,Error Code: 209
333.9,DeviceError,53,User piece too big.
356.6,DeviceError,53,User piece too big.
379.7,DeviceError,53,User piece too big.
419.4,DeviceError,209,Error Code: 209
490.7,DeviceError,209,Error Code: 209
512.2,DeviceError,209,Error Code: 209
556.1,DeviceError,209,Error Code: 209
600.7,SessionPause,607,
600.7,DeviceError,209,Error Code: 209
600.7,DeviceError,197,Error Code: 197
600.7,DeviceError,122,Breath rejected; segment too short.
600.7,DeviceError,209,Error Code: 209
600.7,DeviceError,209,Error Code: 209
600.7,DeviceError,168,Error Code: 168
600.7,DeviceError,168,Error Code: 168
600.7,DeviceError,191,Error Code: 191
600.7,DeviceError,209,Error Code: 209
600.7,DeviceError,168,Error Code: 168
600.7,DeviceError,168,Error Code: 168
600.7,DeviceError,168,Error Code: 168
600.7,DeviceError,191,Error Code: 191
600.7,DeviceError,168,Error Code: 168
600.7,DeviceError,168,Error Code: 168
600.7,DeviceError,168,Error Code: 168
600.7,DeviceError,168,Error Code: 168
600.7,DeviceError,56,Breathing less than valve trigger.
600.7,DeviceError,168,Error Code: 168
600.7,DeviceError,209,Error Code: 209
600.7,DeviceError,168,Error Code: 168
600.7,DeviceError,168,Error Code: 168
600.7,DeviceError,168,Error Code: 168
600.7,DeviceError,168,Error Code: 168
600.7,DeviceError,168,Error Code: 168
600.7,DeviceError,209,Error Code: 209
600.7,DeviceError,209,Error Code: 209
600.7,DeviceError,209,Error Code: 209
600.7,DeviceError,209,Error Code: 209
600.7,DeviceError,168,Error Code: 168
600.7,DeviceError,168,Error Code: 168
600.7,DeviceError,168,Error Code: 168
600.7,DeviceError,168,Error Code: 168
600.7,DeviceError,168,Error Code: 168
600.7,DeviceError,168,Error Code: 168
600.7,DeviceError,168,Error Code: 168
600.7,DeviceError,168,Error Code: 168
600.7,DeviceError,168,Error Code: 168
600.7,DeviceError,168,Error Code: 168
600.7,DeviceError,168,Error Code: 168
600.7,DeviceError,168,Error Code: 168
600.7,DeviceError,168,Error Code: 168
600.7,DeviceError,191,Error Code: 191
600.7,DeviceError,209,Error Code: 209
600.7,DeviceError,209,Error Code: 209
600.7,DeviceError,209,Error Code: 209
600.7,DeviceError,197,Error Code: 197
600.7,DeviceError,209,Error Code: 209
600.7,SessionRecording,680,
601,DeviceError,197,Error Code: 197
618.6,DeviceError,197,Error Code: 197
655.9,DeviceError,197,Error Code: 197
683.7,DeviceError,209,Error Code: 209
686,DeviceError,197,Error Code: 197
799.2,DeviceError,197,Error Code: 197
808.5,DeviceError,197,Error Code: 197
858.8,DeviceError,56,Breathing less than valve trigger.
860.6,DeviceError,197,Error Code: 197
861.1,DeviceError,209,Error Code: 209
869,DeviceError,122,Breath rejected; segment too short.
889.3,DeviceError,56,Breathing less than valve trigger.
900.4,DeviceError,209,Error Code: 209
908.8,SessionPause,988,
908.8,SessionRecording,989,
920.2,DeviceError,209,Error Code: 209
920.3,DeviceError,122,Breath rejected; segment too short.
920.4,DeviceError,209,Error Code: 209
920.5,DeviceError,122,Breath rejected; segment too short.
1056.2,SessionComplete,0,
