Time[s],Error[code],Description
-165.8,168,Error Code: 168
-165.3,168,Error Code: 168
-165.3,168,Error Code: 168
-165.3,168,Error Code: 168
-165.2,168,Error Code: 168
-150.4,56,Breathing less than valve trigger.
-138.5,197,Error Code: 197
-128.2,192,Error Code: 192
-128.1,192,Error Code: 192
-125.3,192,Error Code: 192
-125,192,Error Code: 192
-124.3,192,Error Code: 192
-124,192,Error Code: 192
-120.9,192,Error Code: 192
-120.1,192,Error Code: 192
-119.4,192,Error Code: 192
-119.4,192,Error Code: 192
-82.3,168,Error Code: 168
-81.7,53,User piece too big.
-81.7,197,Error Code: 197
-78.9,197,Error Code: 197
-76.5,197,Error Code: 197
-73.1,53,User piece too big.
-73.1,197,Error Code: 197
-67.5,197,Error Code: 197
-63.1,197,Error Code: 197
-60,53,User piece too big.
-60,197,Error Code: 197
-54.2,64,Ventilation out of range.
-48.6,197,Error Code: 197
-42.3,53,User piece too big.
-42.3,197,Error Code: 197
-39.4,197,Error Code: 197
-31.3,64,Ventilation out of range.
-27.3,53,User piece too big.
-27.3,197,Error Code: 197
-23.2,197,Error Code: 197
-18.3,197,Error Code: 197
-8.9,167,Error Code: 167
5,167,Error Code: 167
10.1,167,Error Code: 167
20.1,149,Error Code: 149
51.6,167,Error Code: 167
52.7,168,Error Code: 168
56.8,167,Error Code: 167
57.9,168,Error Code: 168
58.7,167,Error Code: 167
58.7,184,Error Code: 184
60.5,167,Error Code: 167
80.9,168,Error Code: 168
90.6,120,Calibration: waiting for user to start breathing.
133.2,167,Error Code: 167
159.5,122,Breath rejected; segment too short.
220.8,190,Error Code: 190
220.8,191,Error Code: 191
223.4,167,Error Code: 167
224.7,121,Breath rejected; too jittery.
230.9,125,Breath rejected; Rf out of range.
236.7,125,Breath rejected; Rf out of range.
239.2,167,Error Code: 167
239.2,167,Error Code: 167
239.2,168,Error Code: 168
239.2,121,Breath rejected; too jittery.
239.2,53,User piece too big.
239.2,125,Breath rejected; Rf out of range.
239.2,64,Ventilation out of range.
239.2,168,Error Code: 168
239.2,168,Error Code: 168
239.2,168,Error Code: 168
239.2,168,Error Code: 168
239.2,167,Error Code: 167
239.2,125,Breath rejected; Rf out of range.
239.2,168,Error Code: 168
239.2,168,Error Code: 168
239.2,121,Breath rejected; too jittery.
250.3,168,Error Code: 168
250.4,168,Error Code: 168
250.4,168,Error Code: 168
250.6,168,Error Code: 168
251.5,53,User piece too big.
256.5,167,Error Code: 167
259.1,73,Error Code: 73
268.9,53,User piece too big.
268.9,64,Ventilation out of range.
283.5,53,User piece too big.
283.5,125,Breath rejected; Rf out of range.
287.1,167,Error Code: 167
291.2,125,Breath rejected; Rf out of range.
293.2,168,Error Code: 168
293.3,168,Error Code: 168
293.6,168,Error Code: 168
293.8,168,Error Code: 168
294.7,168,Error Code: 168
298.5,167,Error Code: 167
302.1,125,Breath rejected; Rf out of range.
308.1,167,Error Code: 167
309.6,167,Error Code: 167
311,53,User piece too big.
312,64,Ventilation out of range.
323.1,53,User piece too big.
325.5,209,Error Code: 209
327.4,191,Error Code: 191
330.6,167,Error Code: 167
335,64,Ventilation out of range.
336.5,167,Error Code: 167
338.1,167,Error Code: 167
341.6,167,Error Code: 167
342,167,Error Code: 167
344.3,192,Error Code: 192
344.4,192,Error Code: 192
344.4,168,Error Code: 168
344.9,192,Error Code: 192
346.6,184,Error Code: 184
346.6,53,User piece too big.
347.7,167,Error Code: 167
360.9,53,User piece too big.
372.4,167,Error Code: 167
376.7,167,Error Code: 167
376.7,184,Error Code: 184
377.9,167,Error Code: 167
377.9,192,Error Code: 192
379,167,Error Code: 167
381.4,53,User piece too big.
381.4,191,Error Code: 191
394,53,User piece too big.
396.3,167,Error Code: 167
398.5,168,Error Code: 168
398.6,168,Error Code: 168
402.7,168,Error Code: 168
404.4,125,Breath rejected; Rf out of range.
408.3,167,Error Code: 167
409.6,64,Ventilation out of range.
410.4,209,Error Code: 209
414.2,167,Error Code: 167
415.9,168,Error Code: 168
416,168,Error Code: 168
419.3,191,Error Code: 191
432.9,53,User piece too big.
433.7,125,Breath rejected; Rf out of range.
435.6,168,Error Code: 168
437.2,168,Error Code: 168
445.8,53,User piece too big.
464.8,53,User piece too big.
472.8,53,User piece too big.
484.1,53,User piece too big.
489.3,167,Error Code: 167
501.3,53,User piece too big.
509,167,Error Code: 167
513.6,64,Ventilation out of range.
514.3,53,User piece too big.
525.1,209,Error Code: 209
525.4,209,Error Code: 209
